"term","freq","s1","s2","s3","prob"
"one of the",328,"one","of","the",0.418901660280971
"thanks for the",323,"thanks","for","the",0.492378048780488
"a lot of",268,"a","lot","of",0.543610547667343
"to be a",218,"to","be","a",0.118542686242523
"i want to",189,"i","want","to",0.497368421052632
"going to be",188,"going","to","be",0.214857142857143
"looking forward to",174,"looking","forward","to",0.994285714285714
"it was a",162,"it","was","a",0.147810218978102
"i need to",151,"i","need","to",0.445427728613569
"i have a",149,"i","have","a",0.130244755244755
"out of the",144,"out","of","the",0.253075571177504
"a couple of",141,"a","couple","of",0.68780487804878
"i have to",140,"i","have","to",0.122377622377622
"i love you",140,"i","love","you",0.195258019525802
"thank you for",138,"thank","you","for",0.232323232323232
"the rest of",136,"the","rest","of",0.829268292682927
"one of my",134,"one","of","my",0.171136653895275
"as well as",129,"as","well","as",0.400621118012422
"some of the",127,"some","of","the",0.429054054054054
"be able to",126,"be","able","to",0.984375
"in the world",120,"in","the","world",0.0313643491897543
"the end of",120,"the","end","of",0.563380281690141
"for the follow",114,"for","the","follow",0.0581929555895865
"the fact that",113,"the","fact","that",0.869230769230769
"can't wait to",112,"can't","wait","to",0.476595744680851
"this is a",111,"this","is","a",0.160636758321274
"is one of",108,"is","one","of",0.650602409638554
"there is a",104,"there","is","a",0.244705882352941
"it is a",102,"it","is","a",0.101796407185629
"to see you",102,"to","see","you",0.15
"part of the",101,"part","of","the",0.354385964912281
"this is the",101,"this","is","the",0.14616497829233
"is going to",100,"is","going","to",0.666666666666667
"you want to",100,"you","want","to",0.495049504950495
"i had to",99,"i","had","to",0.185393258426966
"it would be",99,"it","would","be",0.485294117647059
"to go to",98,"to","go","to",0.208955223880597
"when i was",98,"when","i","was",0.163879598662207
"i don't know",97,"i","don't","know",0.175406871609403
"i think i",97,"i","think","i",0.127463863337714
"the first time",97,"the","first","time",0.181308411214953
"i feel like",96,"i","feel","like",0.341637010676157
"i had a",95,"i","had","a",0.177902621722846
"i'm going to",94,"i'm","going","to",0.846846846846847
"you have a",94,"you","have","a",0.18989898989899
"there is no",92,"there","is","no",0.216470588235294
"if you are",90,"if","you","are",0.0977198697068404
"let me know",90,"let","me","know",0.447761194029851
"to be the",86,"to","be","the",0.0467645459488853
"have a great",85,"have","a","great",0.0934065934065934
"you have to",85,"you","have","to",0.171717171717172
"all of the",84,"all","of","the",0.259259259259259
"i wanted to",83,"i","wanted","to",0.67479674796748
"for the first",82,"for","the","first",0.041858090862685
"rest of the",82,"rest","of","the",0.56551724137931
"i have been",81,"i","have","been",0.0708041958041958
"would love to",81,"would","love","to",0.764150943396226
"a bit of",80,"a","bit","of",0.256410256410256
"i wish i",79,"i","wish","i",0.454022988505747
"to see the",79,"to","see","the",0.116176470588235
"in order to",78,"in","order","to",0.847826086956522
"of the day",78,"of","the","day",0.0200153964588145
"to have a",78,"to","have","a",0.183098591549296
"want to be",78,"want","to","be",0.104838709677419
"if you have",77,"if","you","have",0.0836047774158523
"at the end",76,"at","the","end",0.0578827113480579
"one of those",76,"one","of","those",0.0970625798212005
"that i have",76,"that","i","have",0.102013422818792
"to make a",76,"to","make","a",0.149606299212598
"back to the",75,"back","to","the",0.202156334231806
"in front of",75,"in","front","of",0.9375
"to do with",75,"to","do","with",0.100401606425703
"what do you",75,"what","do","you",0.735294117647059
"would like to",74,"would","like","to",0.770833333333333
"do you think",73,"do","you","think",0.15938864628821
"i will be",73,"i","will","be",0.16628701594533
"end of the",72,"end","of","the",0.441717791411043
"i am not",70,"i","am","not",0.0648148148148148
"you need to",70,"you","need","to",0.492957746478873
"i hope you",68,"i","hope","you",0.241992882562278
"all the time",67,"all","the","time",0.11336717428088
"we need to",67,"we","need","to",0.553719008264463
"if you want",66,"if","you","want",0.0716612377850163
"of the most",66,"of","the","most",0.0169361046959199
"there was a",66,"there","was","a",0.323529411764706
"to get a",65,"to","get","a",0.0804455445544554
"i have no",64,"i","have","no",0.0559440559440559
"in the middle",64,"in","the","middle",0.0167276529012023
"was going to",64,"was","going","to",0.735632183908046
"you so much",64,"you","so","much",0.646464646464647
"and i have",63,"and","i","have",0.0561497326203209
"as long as",63,"as","long","as",0.926470588235294
"as much as",63,"as","much","as",0.577981651376147
"for me to",63,"for","me","to",0.162371134020619
"i can't wait",63,"i","can't","wait",0.224199288256228
"it will be",63,"it","will","be",0.338709677419355
"i love the",62,"i","love","the",0.0864714086471409
"so i can",62,"so","i","can",0.127835051546392
"can't wait for",61,"can't","wait","for",0.259574468085106
"don't want to",61,"don't","want","to",0.616161616161616
"i am a",61,"i","am","a",0.0564814814814815
"i don't think",60,"i","don't","think",0.108499095840868
"in my life",60,"in","my","life",0.102040816326531
"to make it",60,"to","make","it",0.118110236220472
"we have to",60,"we","have","to",0.152671755725191
"i am so",59,"i","am","so",0.0546296296296296
"i decided to",59,"i","decided","to",0.710843373493976
"we have a",59,"we","have","a",0.150127226463104
"at the same",58,"at","the","same",0.0441736481340442
"for the rt",58,"for","the","rt",0.0296069423175089
"i know i",58,"i","know","i",0.113502935420744
"is the best",57,"is","the","best",0.0676959619952494
"look forward to",57,"look","forward","to",0.934426229508197
"of the best",57,"of","the","best",0.014626635873749
"seems to be",57,"seems","to","be",0.459677419354839
"thanks for following",57,"thanks","for","following",0.086890243902439
"to do it",57,"to","do","it",0.0763052208835341
"would be a",57,"would","be","a",0.123913043478261
"and it is",56,"and","it","is",0.178913738019169
"go to the",56,"go","to","the",0.191126279863481
"in the morning",56,"in","the","morning",0.014636696288552
"the middle of",56,"the","middle","of",0.636363636363636
"when it comes",56,"when","it","comes",0.388888888888889
"a bunch of",55,"a","bunch","of",0.901639344262295
"and i am",55,"and","i","am",0.0490196078431373
"and it was",55,"and","it","was",0.175718849840256
"be a good",55,"be","a","good",0.10054844606947
"i went to",55,"i","went","to",0.443548387096774
"in the past",55,"in","the","past",0.0143753267119707
"it is the",55,"it","is","the",0.0548902195608782
"wait to see",55,"wait","to","see",0.366666666666667
"i dont know",54,"i","dont","know",0.232758620689655
"i used to",54,"i","used","to",0.446280991735537
"in love with",54,"in","love","with",0.620689655172414
"of my life",54,"of","my","life",0.0829493087557604
"of the year",54,"of","the","year",0.0138568129330254
"you for the",54,"you","for","the",0.312138728323699
"do you have",53,"do","you","have",0.115720524017467
"have to be",53,"have","to","be",0.0765895953757225
"it is not",53,"it","is","not",0.0528942115768463
"of my favorite",53,"of","my","favorite",0.0814132104454685
"so much for",53,"so","much","for",0.126190476190476
"that it was",53,"that","it","was",0.231441048034935
"will be a",53,"will","be","a",0.0635491606714628
"a great day",52,"a","great","day",0.0981132075471698
"and i was",52,"and","i","was",0.0463458110516934
"check it out",52,"check","it","out",0.928571428571429
"if you don't",52,"if","you","don't",0.0564603691639522
"in the first",52,"in","the","first",0.0135912179822269
"it comes to",52,"it","comes","to",0.684210526315789
"most of the",52,"most","of","the",0.311377245508982
"need to get",52,"need","to","get",0.0950639853747715
"not going to",52,"not","going","to",0.8125
"thanks so much",52,"thanks","so","much",0.981132075471698
"the same time",52,"the","same","time",0.099236641221374
"as soon as",51,"as","soon","as",0.944444444444444
"i was in",51,"i","was","in",0.045373665480427
"but it is",50,"but","it","is",0.200803212851406
"i was a",50,"i","was","a",0.0444839857651246
"is in the",50,"is","in","the",0.289017341040462
"is not a",50,"is","not","a",0.126903553299492
"a long time",49,"a","long","time",0.322368421052632
"hope to see",49,"hope","to","see",0.515789473684211
"i think it",49,"i","think","it",0.064388961892247
"i would have",49,"i","would","have",0.114485981308411
"is a good",49,"is","a","good",0.0433244916003537
"it in the",49,"it","in","the",0.312101910828025
"thank you so",49,"thank","you","so",0.0824915824915825
"that i was",49,"that","i","was",0.0657718120805369
"to get the",49,"to","get","the",0.0606435643564356
"what are you",49,"what","are","you",0.515789473684211
"a little bit",48,"a","little","bit",0.096
"for a while",48,"for","a","while",0.0485338725985844
"i love it",48,"i","love","it",0.0669456066945607
"i need a",48,"i","need","a",0.141592920353982
"is a great",48,"is","a","great",0.0424403183023873
"out of my",48,"out","of","my",0.0843585237258348
"that i am",48,"that","i","am",0.0644295302013423
"a part of",47,"a","part","of",0.839285714285714
"i think the",47,"i","think","the",0.0617608409986859
"no matter what",47,"no","matter","what",0.494736842105263
"on the other",47,"on","the","other",0.0233947237431558
"what to do",47,"what","to","do",0.47
"a chance to",46,"a","chance","to",0.605263157894737
"and i will",46,"and","i","will",0.0409982174688057
"back in the",46,"back","in","the",0.310810810810811
"how do you",46,"how","do","you",0.48936170212766
"i don't have",46,"i","don't","have",0.0831826401446655
"i like to",46,"i","like","to",0.190871369294606
"it was the",46,"it","was","the",0.041970802919708
"be sure to",45,"be","sure","to",0.75
"have a good",45,"have","a","good",0.0494505494505494
"how are you",45,"how","are","you",0.703125
"in the last",45,"in","the","last",0.0117616309461579
"that is the",45,"that","is","the",0.114795918367347
"the united states",45,"the","united","states",0.775862068965517
"to be in",45,"to","be","in",0.0244698205546493
"up in the",45,"up","in","the",0.304054054054054
"but it was",44,"but","it","was",0.176706827309237
"had a great",44,"had","a","great",0.100686498855835
"i am going",44,"i","am","going",0.0407407407407407
"i don't want",44,"i","don't","want",0.0795660036166365
"i know that",44,"i","know","that",0.086105675146771
"i miss you",44,"i","miss","you",0.360655737704918
"need to be",44,"need","to","be",0.0804387568555759
"the same thing",44,"the","same","thing",0.083969465648855
"am going to",43,"am","going","to",0.914893617021277
"are going to",43,"are","going","to",0.651515151515151
"by the way",43,"by","the","way",0.0814393939393939
"i would like",43,"i","would","like",0.100467289719626
"of the world",43,"of","the","world",0.0110341288170387
"on the way",43,"on","the","way",0.0214036834245893
"to get to",43,"to","get","to",0.0532178217821782
"to say that",43,"to","say","that",0.155797101449275
"to take a",43,"to","take","a",0.175510204081633
"you will be",43,"you","will","be",0.211822660098522
"and of course",42,"and","of","course",0.666666666666667
"have to do",42,"have","to","do",0.0606936416184971
"look at the",42,"look","at","the",0.223404255319149
"to do the",42,"to","do","the",0.0562248995983936
"up to the",42,"up","to","the",0.146341463414634
"wish i could",42,"wish","i","could",0.306569343065693
"you can see",42,"you","can","see",0.0738137082601054
"according to the",41,"according","to","the",0.275167785234899
"but i think",41,"but","i","think",0.0644654088050314
"have no idea",41,"have","no","idea",0.315384615384615
"i would be",41,"i","would","be",0.0957943925233645
"im going to",41,"im","going","to",0.872340425531915
"that it is",41,"that","it","is",0.179039301310044
"there will be",41,"there","will","be",0.82
"i do not",40,"i","do","not",0.142857142857143
"i got a",40,"i","got","a",0.136518771331058
"i thought i",40,"i","thought","i",0.161290322580645
"looking for a",40,"looking","for","a",0.25974025974026
"on top of",40,"on","top","of",0.677966101694915
"please follow me",40,"please","follow","me",0.645161290322581
"the idea of",40,"the","idea","of",0.449438202247191
"the top of",40,"the","top","of",0.285714285714286
"to talk to",40,"to","talk","to",0.353982300884956
"a great time",39,"a","great","time",0.0735849056603774
"for a few",39,"for","a","few",0.0394337714863498
"in the end",39,"in","the","end",0.0101934134866702
"in the same",39,"in","the","same",0.0101934134866702
"on my way",39,"on","my","way",0.0860927152317881
"this is not",39,"this","is","not",0.0564399421128799
"to find a",39,"to","find","a",0.198979591836735
"top of the",39,"top","of","the",0.419354838709677
"do you know",38,"do","you","know",0.0829694323144105
