"term","freq","prob"
"the",44179,0.0453414644659788
"to",29149,0.0299159860503591
"a",23745,0.0243697927464331
"and",23649,0.0242712667365928
"i",22645,0.0232408488836798
"of",19496,0.0200089904983979
"in",15604,0.0160145818494564
"you",12456,0.012783749776777
"is",11952,0.0122664882251155
"for",11632,0.0119380681923146
"that",10828,0.0111129128599022
"it",10777,0.0110605709171745
"on",8761,0.00899152471052853
"my",8362,0.00858202598212984
"with",7138,0.00732581935666621
"this",6446,0.00661561103573415
"was",6346,0.00651297977548386
"be",6183,0.00634569082127587
"have",5943,0.00609937579667516
"at",5648,0.00579661357893678
"but",5259,0.00539737797656313
"are",5248,0.00538608853793559
"me",5188,0.00532450978178541
"so",4994,0.00512540513689984
"we",4880,0.0050084055002145
"not",4725,0.00484932704682654
"as",4707,0.00483085341998148
"your",4166,0.00427561830202738
"all",3945,0.00404880321687422
"just",3898,0.00400056652455658
"from",3632,0.00372756737229079
"like",3437,0.00352743641480271
"out",3390,0.00347919972248507
"what",3374,0.00346277872084502
"up",3357,0.00344533140660247
"or",3351,0.00343917353098746
"if",3285,0.00337143689922226
"he",3281,0.00336733164881225
"one",3280,0.00336630533620975
"will",3228,0.00331293708087959
"about",3158,0.00324109519870438
"they",3156,0.00323904257349938
"do",3101,0.00318259538036171
"can",2885,0.00296091185822107
"when",2841,0.00291575410371094
"by",2802,0.00287572791221333
"an",2789,0.00286238584838079
"get",2732,0.00280388603003812
"time",2565,0.00263249182542012
"more",2538,0.00260478138515254
"i'm",2445,0.00250933431311976
"there",2415,0.00247854493504468
"his",2372,0.00243441349313705
"had",2323,0.0023841241756144
"day",2315,0.00237591367479438
"good",2315,0.00237591367479438
"no",2304,0.00236462423616685
"her",2282,0.00234204535891178
"our",2250,0.00230920335563169
"love",2233,0.00229175604138913
"now",2216,0.00227430872714658
"has",2211,0.00226917716413407
"who",2176,0.00223325622304647
"some",2163,0.00221991415921393
"how",2150,0.00220657209538139
"would",2148,0.00220451947017638
"know",2103,0.00215833540306375
"it's",1979,0.00203107264035338
"new",1972,0.00202388845213586
"she",1963,0.00201465163871333
"their",1870,0.00191920456668056
"see",1861,0.00190996775325803
"been",1852,0.0019007309398355
"its",1781,0.00182786274505779
"them",1736,0.00178167867794516
"people",1732,0.00177757342753515
"go",1701,0.00174575773685755
"back",1686,0.00173036304782001
"were",1666,0.00170983679576995
"don't",1574,0.00161541603633968
"us",1555,0.00159591609689212
"think",1539,0.00157949509525207
"make",1516,0.0015558899053945
"am",1515,0.001554863592792
"great",1515,0.001554863592792
"too",1458,0.00149636377444933
"today",1453,0.00149123221143682
"thanks",1448,0.0014861006484243
"much",1401,0.00143786395610666
"then",1401,0.00143786395610666
"going",1398,0.00143478501829915
"really",1394,0.00143067976788914
"well",1371,0.00140707457803157
"only",1366,0.00140194301501906
"first",1344,0.00137936413776399
"which",1339,0.00137423257475148
"over",1338,0.00137320626214898
"got",1335,0.00137012732434147
"way",1327,0.00136191682352144
"than",1325,0.00135986419831644
"into",1323,0.00135781157311143
"because",1312,0.0013465221344839
"rt",1303,0.00133728532106137
"want",1298,0.00133215375804886
"work",1251,0.00128391706573122
