"term","freq","s1","s2","prob"
"of the",3897,"of","the",0.199887156339762
"in the",3826,"in","the",0.245193540117918
"to the",2090,"to","the",0.0717005729184535
"on the",2009,"on","the",0.229311722406118
"for the",1959,"for","the",0.168414718019257
"to be",1839,"to","be",0.0630896428693952
"at the",1313,"at","the",0.232471671388102
"i have",1144,"i","have",0.0505188783395893
"is a",1131,"is","a",0.0946285140562249
"i was",1124,"i","was",0.0496356811658203
"and the",1123,"and","the",0.0474861516343186
"and i",1122,"and","i",0.0474438665482684
"it was",1096,"it","was",0.101698060684792
"i am",1080,"i","am",0.0476926473835284
"in a",1064,"in","a",0.0681876441937965
"it is",1002,"it","is",0.0929757817574464
"for a",989,"for","a",0.0850240715268226
"with the",977,"with","the",0.136873073690109
"if you",921,"if","you",0.280365296803653
"have a",910,"have","a",0.153121319199058
"going to",875,"going","to",0.625894134477825
"is the",842,"is","the",0.0704484605087015
"will be",834,"will","be",0.258364312267658
"from the",823,"from","the",0.226596916299559
"to get",808,"to","get",0.0277196473292394
"one of",783,"one","of",0.238719512195122
"i think",761,"i","think",0.0336056524619121
"to do",747,"to","do",0.0256269511818587
"that i",745,"that","i",0.0688031030661249
"want to",744,"want","to",0.573189522342065
"i love",717,"i","love",0.0316626186796202
"with a",714,"with","a",0.100028019052956
"have to",692,"have","to",0.116439508665657
"of a",691,"of","a",0.0354431678292983
"this is",691,"this","is",0.107198262488365
"to see",680,"to","see",0.0233284160691619
"thanks for",656,"thanks","for",0.453038674033149
"of my",651,"of","my",0.0333914649158802
"as a",644,"as","a",0.136817505842362
"but i",636,"but","i",0.12093553907587
"was a",603,"was","a",0.0950204853450993
"i can",598,"i","can",0.0264075954956944
"when i",598,"when","i",0.210489264343541
"thank you",594,"thank","you",0.837799717912553
"all the",591,"all","the",0.149809885931559
"in my",588,"in","my",0.0376826454755191
"out of",569,"out","of",0.167846607669617
"you can",569,"you","can",0.0456807964033398
"i don't",553,"i","don't",0.0244204018547141
"you are",550,"you","are",0.044155427103404
"be a",547,"be","a",0.0884683810448003
"need to",547,"need","to",0.446895424836601
"and a",539,"and","a",0.0227916613810309
"the first",535,"the","first",0.0121098259353992
"i had",534,"i","had",0.0235813645396335
"a great",530,"a","great",0.0223204885238998
"on a",529,"on","a",0.0603812350188335
"by the",528,"by","the",0.188436830835118
"i just",528,"i","just",0.0233164053875028
"a good",526,"a","good",0.0221520320067383
"the same",524,"the","same",0.0118608388600919
"that the",523,"that","the",0.0483007018840044
"i know",511,"i","know",0.0225656877897991
"to make",508,"to","make",0.0174276990634327
"a little",500,"a","little",0.0210570646451885
"the best",497,"the","best",0.0112496887661559
"you have",495,"you","have",0.0397398843930636
"a lot",493,"a","lot",0.0207622657401558
"so i",485,"so","i",0.0971165398478174
"to go",469,"to","go",0.0160897457888778
"would be",460,"would","be",0.21415270018622
"do you",458,"do","you",0.147694292163818
"on my",453,"on","my",0.051706426207054
"they are",450,"they","are",0.142585551330798
"to a",444,"to","a",0.0152320834333939
"we are",442,"we","are",0.0905737704918033
"i will",439,"i","will",0.0193861779642305
"a few",438,"a","few",0.0184459886291851
"had a",437,"had","a",0.188118811881188
"about the",433,"about","the",0.137112096263458
"have been",432,"have","been",0.0726905603230692
"i would",428,"i","would",0.0189004195186575
"to have",426,"to","have",0.0146145665374455
"there is",425,"there","is",0.175983436853002
"so much",420,"so","much",0.0841009211053264
"like a",417,"like","a",0.121326738434681
"you know",405,"you","know",0.032514450867052
"the world",399,"the","world",0.00903144027705471
"are you",398,"are","you",0.0758384146341463
"if i",398,"if","i",0.121156773211568
"is not",394,"is","not",0.0329651941097724
"we have",393,"we","have",0.0805327868852459
"that is",392,"that","is",0.0362024381233838
"for me",388,"for","me",0.0333562585969739
"to me",387,"to","me",0.0132766132628907
"i want",380,"i","want",0.0167807463016118
"as the",378,"as","the",0.0803059273422562
"has been",372,"has","been",0.168249660786974
"back to",371,"back","to",0.220047449584816
"into the",371,"into","the",0.28042328042328
"he was",356,"he","was",0.108503505028955
"a new",354,"a","new",0.0149084017687934
"the most",348,"the","most",0.00787704565517554
"i need",339,"i","need",0.0149701920953853
"and then",338,"and","then",0.0142923590849507
"to my",331,"to","my",0.0113554495866067
"trying to",331,"trying","to",0.789976133651551
"there are",327,"there","are",0.135403726708075
"the way",326,"the","way",0.00737907150456099
"all of",324,"all","of",0.0821292775665399
"time to",323,"time","to",0.125925925925926
"what i",323,"what","i",0.0957320687611144
"as well",322,"as","well",0.0684087529211812
"and it",313,"and","it",0.013235231933697
"was the",313,"was","the",0.0493224078159471
"a bit",312,"a","bit",0.0131396083385976
"at least",308,"at","least",0.0545325779036827
"me to",308,"me","to",0.0593677717810332
"i could",300,"i","could",0.0132479576065357
"when you",300,"when","you",0.105596620908131
"with my",300,"with","my",0.0420285794340151
"some of",296,"some","of",0.136846971798428
"is that",294,"is","that",0.0245983935742972
"go to",293,"go","to",0.172251616696061
"i got",293,"i","got",0.0129388385957165
"can be",292,"can","be",0.101213171577123
"the other",288,"the","other",0.00651893433531768
"the time",288,"the","time",0.00651893433531768
"right now",287,"right","now",0.245508982035928
"up to",287,"up","to",0.085492999702115
"had to",285,"had","to",0.122686181661644
"part of",285,"part","of",0.626373626373626
"the new",285,"the","new",0.00645102876932479
"the day",284,"the","day",0.00642839358066049
"of course",283,"of","course",0.0145157981124333
"way to",283,"way","to",0.213262999246421
"more than",282,"more","than",0.111111111111111
"i can't",281,"i","can't",0.0124089202914551
"i feel",281,"i","feel",0.0124089202914551
"i hope",281,"i","hope",0.0124089202914551
"lot of",281,"lot","of",0.51183970856102
"i do",280,"i","do",0.0123647604327666
"that was",279,"that","was",0.0257665312153676
"be the",277,"be","the",0.0448002587740579
"the last",277,"the","last",0.00626994726001041
"as i",276,"as","i",0.058636073932441
"to say",276,"to","say",0.00946859240454218
"over the",274,"over","the",0.204783258594918
"of this",272,"of","this",0.0139515798112433
"able to",270,"able","to",0.957446808510638
"for you",270,"for","you",0.0232118294360385
"the next",269,"the","next",0.00608886575069603
"in this",263,"in","this",0.0168546526531659
"like to",263,"like","to",0.0765202211230724
"how to",261,"how","to",0.121395348837209
"are the",259,"are","the",0.0493521341463415
"should be",257,"should","be",0.269392033542977
"of his",256,"of","his",0.0131308986458761
"but the",254,"but","the",0.0482981555428789
"he is",254,"he","is",0.0774154221274002
"like the",253,"like","the",0.073610707011929
"that you",251,"that","you",0.023180642777983
"but it",249,"but","it",0.0473474044495151
"i thought",248,"i","thought",0.0109516449547361
"for my",246,"for","my",0.0211485557083906
"forward to",246,"forward","to",0.788461538461538
"love you",246,"love","you",0.110165696372593
"to take",245,"to","take",0.00840509108374215
"at a",243,"at","a",0.0430240793201133
"of your",243,"of","your",0.0124640951990152
"see you",243,"see","you",0.130574959699087
"i like",241,"i","like",0.010642525943917
"not a",238,"not","a",0.0503703703703704
"the only",238,"the","only",0.00538717490210281
"kind of",236,"kind","of",0.756410256410256
"of our",236,"of","our",0.012105047189167
"can't wait",235,"can't","wait",0.288343558282209
"she was",234,"she","was",0.119205298013245
"i dont",232,"i","dont",0.0102450872157209
"we can",232,"we","can",0.0475409836065574
"to you",231,"to","you",0.00792480016467117
"what you",231,"what","you",0.0684647302904564
"get a",229,"get","a",0.0838213762811127
"that it",229,"that","it",0.0211488732914666
"i get",228,"i","get",0.0100684477809671
"because i",225,"because","i",0.171493902439024
"last night",225,"last","night",0.187032418952618
"of you",225,"of","you",0.011540828887977
"you to",225,"you","to",0.0180635838150289
"me and",221,"me","and",0.0425983037779491
"such a",221,"such","a",0.395348837209302
"have the",220,"have","the",0.0370183409052667
"i really",219,"i","really",0.00967100905277103
"i did",218,"i","did",0.00962684919408258
"in your",218,"in","your",0.0139707767239169
"it to",218,"it","to",0.0202282638953327
"wanted to",217,"wanted","to",0.616477272727273
"we were",216,"we","were",0.0442622950819672
"has a",215,"has","a",0.0972410673903211
"the end",213,"the","end",0.00482129518549537
"my life",210,"my","life",0.0251136091844056
"out the",210,"out","the",0.0619469026548673
"about it",209,"about","it",0.0661811272957568
"did you",209,"did","you",0.17489539748954
"do not",208,"do","not",0.0670751370525637
"from a",208,"from","a",0.0572687224669604
"up with",208,"up","with",0.0619600834078046
"i'm not",207,"i'm","not",0.0846625766871166
"a couple",205,"a","couple",0.00863339650452727
"not to",205,"not","to",0.0433862433862434
"and we",204,"and","we",0.00862615755423062
"it would",204,"it","would",0.0189292010763663
"there was",204,"there","was",0.084472049689441
"to know",204,"to","know",0.00699852482074857
"to work",204,"to","work",0.00699852482074857
"make a",203,"make","a",0.133905013192612
"of it",203,"of","it",0.010412392285597
"what is",203,"what","is",0.0601659751037344
"you will",203,"you","will",0.0162973667308927
"out to",202,"out","to",0.0595870206489676
"you want",202,"you","want",0.0162170841361593
"let me",201,"let","me",0.298219584569733
"a very",200,"a","very",0.00842282585807539
"do it",199,"do","it",0.0641728474685585
"it's a",198,"it's","a",0.100050530570995
"know what",197,"know","what",0.0936757013789824
"that he",196,"that","he",0.0181012190616919
"to find",196,"to","find",0.00672407286699372
"on this",195,"on","this",0.0222577331354868
"which is",195,"which","is",0.145631067961165
"that we",194,"that","we",0.0179165127447359
"in our",193,"in","our",0.0123686234298898
"is to",193,"is","to",0.0161479250334672
"that they",193,"that","they",0.0178241595862579
"up and",193,"up","and",0.0574918081620494
"up the",192,"up","the",0.0571939231456658
"i didn't",191,"i","didn't",0.00843453300949437
"is it",191,"is","it",0.0159805890227577
"and you",190,"and","you",0.00803416634952852
"it and",190,"it","and",0.0176301382574
"this week",189,"this","week",0.0293205088426931
"this year",189,"this","year",0.0293205088426931
"would have",189,"would","have",0.0879888268156425
"look at",188,"look","at",0.230110159118727
"see the",187,"see","the",0.100483610961848
"and that",186,"and","that",0.00786502600532792
"for this",186,"for","this",0.015990371389271
"hope you",186,"hope","you",0.231631382316314
"it will",186,"it","will",0.0172589774519811
"to give",186,"to","give",0.00638100792480016
"they have",185,"they","have",0.0586185044359949
"they were",185,"they","were",0.0586185044359949
"ready to",184,"ready","to",0.441247002398082
"used to",184,"used","to",0.377049180327869
"when the",184,"when","the",0.0647659274903203
"make it",183,"make","it",0.120712401055409
"got a",181,"got","a",0.135580524344569
"into a",181,"into","a",0.136810279667423
"follow me",180,"follow","me",0.226415094339623
"get to",180,"get","to",0.0658857979502196
"a big",179,"a","big",0.00753842914297747
"at all",179,"at","all",0.0316926345609065
"love to",179,"love","to",0.0801612180922526
"with me",178,"with","me",0.024936957130849
"you get",178,"you","get",0.0142903018625562
"for your",177,"for","your",0.015216643741403
"just a",177,"just","a",0.0454079014879425
"me a",177,"me","a",0.0341171935235158
"now i",177,"now","i",0.0798736462093863
"through the",177,"through","the",0.232894736842105
"you and",176,"you","and",0.0141297366730893
"i guess",175,"i","guess",0.00772797527047913
"looking forward",175,"looking","forward",0.283171521035599
"of all",175,"of","all",0.00897620024620435
"i wish",174,"i","wish",0.00768381541179068
"in his",174,"in","his",0.0111509869264291
"of their",174,"of","their",0.0089249076733689
"is in",173,"is","in",0.0144745649263722
"of them",173,"of","them",0.00887361510053344
"to keep",173,"to","keep",0.00593502349994854
"you for",173,"you","for",0.0138888888888889
"to all",172,"to","all",0.00590071700572918
"and he",171,"and","he",0.00723074971457567
"what a",171,"what","a",0.0506816834617664
"you don't",171,"you","don't",0.013728323699422
"to come",170,"to","come",0.00583210401729047
"for all",169,"for","all",0.0145288858321871
"and my",168,"and","my",0.00710389445642522
"feel like",167,"feel","like",0.230982019363762
"most of",167,"most","of",0.181719260065288
"couple of",166,"couple","of",0.584507042253521
"is one",166,"is","one",0.0138888888888889
"you guys",166,"you","guys",0.0133269107257547
"and not",165,"and","not",0.00697703919827477
"are a",165,"are","a",0.0314405487804878
"check out",165,"check","out",0.377574370709382
"of those",165,"of","those",0.00846327451784981
"know that",164,"know","that",0.0779838326200666
"the rest",164,"the","rest",0.00371217094094479
"to your",164,"to","your",0.00562626505197434
"try to",164,"try","to",0.381395348837209
"end of",163,"end","of",0.350537634408602
"is so",163,"is","so",0.0136378848728246
"me i",163,"me","i",0.0314186584425598
"my favorite",163,"my","favorite",0.0194929442717053
"on your",162,"on","your",0.0184910398356352
"to help",162,"to","help",0.00555765206353563
"get the",161,"get","the",0.0589311859443631
"lots of",161,"lots","of",0.842931937172775
"this morning",160,"this","morning",0.0248215947874651
"you think",160,"you","think",0.0128452151573539
"if the",159,"if","the",0.0484018264840183
"around the",157,"around","the",0.237160120845921
"it in",157,"it","in",0.0145680616126937
"it i",155,"it","i",0.0143824812099842
"thanks to",155,"thanks","to",0.107044198895028
"time i",155,"time","i",0.0604288499025341
"we will",155,"we","will",0.0317622950819672
"with you",155,"with","you",0.0217147660409078
"be in",154,"be","in",0.0249070030729419
"looking for",154,"looking","for",0.249190938511327
"so many",154,"so","many",0.0308370044052863
"if they",153,"if","they",0.0465753424657534
"it out",153,"it","out",0.0141969008072748
"no one",153,"no","one",0.06640625
"the book",153,"the","book",0.00346318386563752
"a long",152,"a","long",0.00640134765213729
"by a",152,"by","a",0.0542469664525339
"don't know",152,"don't","know",0.096569250317662
"i hate",152,"i","hate",0.00671229852064473
"of her",152,"of","her",0.00779647107098892
"off the",152,"off","the",0.142188961646398
"you do",152,"you","do",0.0122029543994862
"may be",151,"may","be",0.185960591133005
"when we",151,"when","we",0.0531502991904259
"a year",150,"a","year",0.00631711939355654
"and they",150,"and","they",0.00634276290752252
"during the",150,"during","the",0.470219435736677
"is going",150,"is","going",0.0125502008032129
"love the",150,"love","the",0.0671742051052396
"wait to",150,"wait","to",0.286259541984733
"according to",149,"according","to",0.993333333333333
"is an",149,"is","an",0.0124665327978581
"went to",149,"went","to",0.305954825462012
"are not",148,"are","not",0.0282012195121951
"back in",148,"back","in",0.0877817319098458
"could be",148,"could","be",0.131672597864769
"take a",148,"take","a",0.157279489904357
"the game",148,"the","game",0.00335000792231603
"up in",148,"up","in",0.044086982424784
"come to",147,"come","to",0.145113524185587
"in that",147,"in","that",0.00942066136887977
"the right",147,"the","right",0.00332737273365174
"to this",147,"to","this",0.00504305465024529
"was not",147,"was","not",0.0231641979199496
"we had",147,"we","had",0.0301229508196721
"a day",146,"a","day",0.00614866287639503
"after the",146,"after","the",0.13345521023766
"how much",146,"how","much",0.067906976744186
"it has",146,"it","has",0.0135473693977916
"to hear",146,"to","hear",0.00500874815602594
"did not",145,"did","not",0.121338912133891
"he said",145,"he","said",0.044193843340445
"people who",145,"people","who",0.0837182448036951
"rest of",145,"rest","of",0.614406779661017
"to use",145,"to","use",0.00497444166180658
"been a",144,"been","a",0.0777537796976242
"this weekend",144,"this","weekend",0.0223394353087186
"to our",144,"to","our",0.00494013516758722
"when it",144,"when","it",0.0506863780359029
"because of",143,"because","of",0.108993902439024
"of that",143,"of","that",0.00733483791546984
"the one",143,"the","one",0.00323683197899455
"to start",143,"to","start",0.00490582867336787
"not the",142,"not","the",0.0300529100529101
"of us",142,"of","us",0.00728354534263439
"the past",142,"the","past",0.00321419679033025
"you need",142,"you","need",0.0114001284521516
"was in",141,"was","in",0.0222187204538292
"but not",140,"but","not",0.0266210306141852
"the top",140,"the","top",0.00316892641300165
"time for",140,"time","for",0.0545808966861598
"i still",139,"i","still",0.00613822035769486
"of these",139,"of","these",0.00712966762412803
"and in",138,"and","in",0.00583534187492072
"for our",137,"for","our",0.0117778541953232
"i've been",137,"i've","been",0.212403100775194
"so far",137,"so","far",0.0274329195034041
"wish i",137,"wish","i",0.357702349869452
"is just",136,"is","just",0.0113788487282463
"must be",136,"must","be",0.296943231441048
"the house",136,"the","house",0.00307838565834446
"i'll be",135,"i'll","be",0.221311475409836
"i saw",135,"i","saw",0.00596158092294105
"in and",135,"in","and",0.00865162778774673
"instead of",135,"instead","of",0.584415584415584
"is no",135,"is","no",0.0112951807228916
"out there",135,"out","there",0.0398230088495575
"she is",135,"she","is",0.0687722873153337
"got to",134,"got","to",0.100374531835206
"i see",134,"i","see",0.00591742106425259
"it all",134,"it","all",0.0124338869815347
"need a",134,"need","a",0.109477124183007
"not be",134,"not","be",0.0283597883597884
"who is",134,"who","is",0.0615808823529412
"about to",133,"about","to",0.0421152628245725
"and to",133,"and","to",0.00562391644466996
"have you",133,"have","you",0.0223792697290931
"think i",133,"think","i",0.0864197530864197
"well as",133,"well","as",0.0970094821298322
"can you",132,"can","you",0.0457538994800693
"good morning",132,"good","morning",0.0570194384449244
"it up",132,"it","up",0.0122483065788253
"new york",132,"new","york",0.0669371196754564
"up for",132,"up","for",0.0393208221626452
"and have",131,"and","have",0.00553934627256966
"decided to",131,"decided","to",0.61214953271028
"as we",130,"as","we",0.0276184406203527
"have no",130,"have","no",0.021874474171294
"the fact",130,"the","fact",0.00294257452635868
"the whole",130,"the","whole",0.00294257452635868
"you like",130,"you","like",0.01043673731535
"you were",130,"you","were",0.01043673731535
"had the",129,"had","the",0.0555316401205338
"having a",129,"having","a",0.268191268191268
"ready for",129,"ready","for",0.309352517985612
"up on",129,"up","on",0.0384271671134942
"away from",128,"away","from",0.250980392156863
"be able",128,"be","able",0.0207019246320556
"had been",128,"had","been",0.0551011622901421
"is my",128,"is","my",0.0107095046854083
"those who",128,"those","who",0.141592920353982
"too much",128,"too","much",0.0877914951989026
"and all",127,"and","all",0.00537020592836906
"as you",127,"as","you",0.0269810919906522
