"term","freq","s1","s2","s3","prob"
"thanks for the",1410,"thanks","for","the",0.539196940726577
"one of the",1299,"one","of","the",0.435759812143576
"a lot of",1120,"a","lot","of",0.582423296931877
"to be a",799,"to","be","a",0.111763883060568
"i want to",792,"i","want","to",0.523809523809524
"going to be",746,"going","to","be",0.208321697849763
"looking forward to",657,"looking","forward","to",0.98796992481203
"i have a",619,"i","have","a",0.135093845482322
"it was a",609,"it","was","a",0.144244433917575
"the end of",599,"the","end","of",0.624608967674661
"thank you for",587,"thank","you","for",0.246121593291405
"out of the",579,"out","of","the",0.237880032867707
"i love you",568,"i","love","you",0.19867086393844
"i have to",561,"i","have","to",0.122435617634221
"some of the",552,"some","of","the",0.468590831918506
"be able to",543,"be","able","to",0.989071038251366
"i need to",520,"i","need","to",0.429752066115702
"the rest of",512,"the","rest","of",0.81658692185008
"can't wait to",508,"can't","wait","to",0.532494758909853
"a couple of",496,"a","couple","of",0.635897435897436
"one of my",489,"one","of","my",0.164038913116404
"as well as",482,"as","well","as",0.395730706075534
"for the follow",468,"for","the","follow",0.0581149882031541
"you want to",466,"you","want","to",0.497863247863248
"there is a",463,"there","is","a",0.26487414187643
"the fact that",448,"the","fact","that",0.842105263157895
"is going to",443,"is","going","to",0.690031152647975
"this is a",433,"this","is","a",0.154422253922967
"to go to",429,"to","go","to",0.221362229102167
"part of the",427,"part","of","the",0.364957264957265
"in the world",421,"in","the","world",0.0284382599297487
"i'm going to",415,"i'm","going","to",0.836693548387097
"i don't know",414,"i","don't","know",0.182942996022978
"you have a",400,"you","have","a",0.1953125
"this is the",396,"this","is","the",0.141226818830243
"if you are",392,"if","you","are",0.101977107180021
"to see you",387,"to","see","you",0.13971119133574
"you have to",385,"you","have","to",0.18798828125
"the first time",383,"the","first","time",0.190737051792829
"i had to",381,"i","had","to",0.173181818181818
"i think i",371,"i","think","i",0.131840796019901
"it would be",370,"it","would","be",0.468354430379747
"have a great",369,"have","a","great",0.103303471444569
"i had a",368,"i","had","a",0.167272727272727
"it is a",367,"it","is","a",0.0905725567620928
"end of the",366,"end","of","the",0.487350199733688
"is one of",365,"is","one","of",0.646017699115044
"i feel like",364,"i","feel","like",0.341143392689784
"i have been",364,"i","have","been",0.0794412920122217
"there is no",355,"there","is","no",0.203089244851259
"to have a",354,"to","have","a",0.197986577181208
"let me know",333,"let","me","know",0.445187165775401
"of the day",329,"of","the","day",0.0209447415329768
"when i was",326,"when","i","was",0.14217182730048
"i wanted to",324,"i","wanted","to",0.657200811359026
"to see the",324,"to","see","the",0.116967509025271
"at the end",320,"at","the","end",0.0604229607250755
"i will be",320,"i","will","be",0.181508791832104
"all of the",316,"all","of","the",0.232695139911635
"to make a",314,"to","make","a",0.158106747230614
"what do you",314,"what","do","you",0.728538283062645
"if you have",312,"if","you","have",0.081165452653486
"if you want",312,"if","you","want",0.081165452653486
"rest of the",307,"rest","of","the",0.569573283858998
"in front of",305,"in","front","of",0.953125
"back to the",304,"back","to","the",0.21038062283737
"to be the",302,"to","be","the",0.0422436704434187
"in order to",299,"in","order","to",0.778645833333333
"to get a",294,"to","get","a",0.0911627906976744
"want to be",293,"want","to","be",0.0960970810101673
"would love to",292,"would","love","to",0.793478260869565
"i wish i",291,"i","wish","i",0.434328358208955
"a bit of",290,"a","bit","of",0.26196928635953
"i am not",286,"i","am","not",0.0641399416909621
"we need to",284,"we","need","to",0.541984732824427
"was going to",282,"was","going","to",0.754010695187166
"one of those",281,"one","of","those",0.0942636699094264
"for the first",278,"for","the","first",0.0345212964112753
"you need to",277,"you","need","to",0.459369817578773
"as much as",274,"as","much","as",0.607538802660754
"do you think",272,"do","you","think",0.147425474254743
"most of the",265,"most","of","the",0.392011834319527
"would like to",264,"would","like","to",0.745762711864407
"so i can",255,"so","i","can",0.136582753079807
"it will be",253,"it","will","be",0.36039886039886
"there was a",251,"there","was","a",0.31375
"i hope you",250,"i","hope","you",0.223015165031222
"to do with",249,"to","do","with",0.093363329583802
"you so much",248,"you","so","much",0.642487046632124
"and it was",245,"and","it","was",0.201149425287356
"i can't wait",245,"i","can't","wait",0.211389128559103
"that i have",244,"that","i","have",0.0848105665623914
"for the rt",243,"for","the","rt",0.0301750900285608
"of the year",242,"of","the","year",0.015406162464986
"wait to see",241,"wait","to","see",0.36404833836858
"all the time",240,"all","the","time",0.0953516090584029
"i don't think",239,"i","don't","think",0.105612019443217
"and i am",238,"and","i","am",0.0547756041426928
"i love the",238,"i","love","the",0.0832458901713886
"in the morning",237,"in","the","morning",0.0160091867062956
"for me to",236,"for","me","to",0.161976664378861
"do you have",234,"do","you","have",0.126829268292683
"go to the",234,"go","to","the",0.182101167315175
"i am a",233,"i","am","a",0.0522538685803992
"in the middle",233,"in","the","middle",0.0157389894623075
"and i have",232,"and","i","have",0.0533947065592635
"are going to",230,"are","going","to",0.688622754491018
"in my life",228,"in","my","life",0.0937885643767997
"look forward to",228,"look","forward","to",0.966101694915254
"of the most",227,"of","the","most",0.0144512350394703
"as long as",226,"as","long","as",0.937759336099585
"i decided to",226,"i","decided","to",0.701863354037267
"so much for",223,"so","much","for",0.128976286871024
"don't want to",221,"don't","want","to",0.638728323699422
"i am so",220,"i","am","so",0.0493384166853555
"we have a",219,"we","have","a",0.154008438818565
"i have no",217,"i","have","no",0.0473592317765168
"to make it",217,"to","make","it",0.109264853977845
"not going to",216,"not","going","to",0.847058823529412
"a great day",215,"a","great","day",0.102283539486204
"what are you",215,"what","are","you",0.487528344671202
"you for the",215,"you","for","the",0.282152230971129
"i know i",214,"i","know","i",0.107375815353738
"that i am",214,"that","i","am",0.0743830378866875
"i went to",213,"i","went","to",0.46304347826087
"have to be",212,"have","to","be",0.0770909090909091
"i was a",212,"i","was","a",0.0470170769571967
"the middle of",211,"the","middle","of",0.584487534626039
"to be in",211,"to","be","in",0.029514617429011
"a long time",210,"a","long","time",0.327102803738318
"had a great",209,"had","a","great",0.114020731042008
"it is not",209,"it","is","not",0.0515794669299112
"up in the",207,"up","in","the",0.324451410658307
"at the same",206,"at","the","same",0.0388972809667674
"is not a",206,"is","not","a",0.124621899576528
"it is the",205,"it","is","the",0.0505923000987167
"is the best",203,"is","the","best",0.0616272009714633
"of the best",201,"of","the","best",0.0127960275019099
"thanks for following",201,"thanks","for","following",0.0768642447418738
"the united states",201,"the","united","states",0.820408163265306
"a little bit",200,"a","little","bit",0.103950103950104
"in the first",200,"in","the","first",0.0135098621994056
"thanks so much",200,"thanks","so","much",0.930232558139535
"need to be",199,"need","to","be",0.0923005565862709
"in love with",198,"in","love","with",0.573913043478261
"i love it",196,"i","love","it",0.068555438964673
"of the world",196,"of","the","world",0.0124777183600713
"and it is",195,"and","it","is",0.160098522167488
"check it out",195,"check","it","out",0.911214953271028
"it was the",195,"it","was","the",0.0461866414021791
"the same time",195,"the","same","time",0.096248766041461
"can't wait for",194,"can't","wait","for",0.20335429769392
"i dont know",194,"i","dont","know",0.207931404072883
"i would have",194,"i","would","have",0.116028708133971
"i need a",193,"i","need","a",0.159504132231405
"on the way",193,"on","the","way",0.0246676891615542
"to do it",193,"to","do","it",0.072365954255718
"thank you so",192,"thank","you","so",0.080503144654088
"to take a",190,"to","take","a",0.179414542020774
"the top of",187,"the","top","of",0.350844277673546
"when it comes",187,"when","it","comes",0.369565217391304
"of my life",186,"of","my","life",0.073838824930528
"we have to",186,"we","have","to",0.130801687763713
"i don't have",185,"i","don't","have",0.0817498895271763
"of my favorite",185,"of","my","favorite",0.073441842000794
"to get the",185,"to","get","the",0.0573643410852713
"for a while",184,"for","a","while",0.0465587044534413
"i am going",184,"i","am","going",0.0412648575913882
"on the other",184,"on","the","other",0.0235173824130879
"that it is",184,"that","it","is",0.213209733487833
"as soon as",183,"as","soon","as",0.973404255319149
"but i think",183,"but","i","think",0.0686164229471316
"look at the",183,"look","at","the",0.269117647058824
"would be a",183,"would","be","a",0.10321489001692
"a bunch of",182,"a","bunch","of",0.866666666666667
"seems to be",182,"seems","to","be",0.442822384428224
"be sure to",181,"be","sure","to",0.729838709677419
"how do you",181,"how","do","you",0.565625
"if you don't",180,"if","you","don't",0.0468262226847034
"know how to",180,"know","how","to",0.357142857142857
"and i was",179,"and","i","was",0.0411967779056387
"a chance to",178,"a","chance","to",0.593333333333333
"looking for a",178,"looking","for","a",0.278125
"we had a",178,"we","had","a",0.2848
"that i was",177,"that","i","was",0.0615224191866528
"all the way",176,"all","the","way",0.0699245133094954
"but it is",176,"but","it","is",0.184679958027282
"in the past",176,"in","the","past",0.0118886787354769
"will be a",176,"will","be","a",0.0537897310513447
"am going to",175,"am","going","to",0.879396984924623
"it comes to",175,"it","comes","to",0.686274509803922
"wish i could",175,"wish","i","could",0.347912524850895
"is a great",174,"is","a","great",0.0380078636959371
"need to get",174,"need","to","get",0.0807050092764379
"that would be",174,"that","would","be",0.395454545454545
"want to go",174,"want","to","go",0.0570678911118399
"would have been",174,"would","have","been",0.215346534653465
"a part of",173,"a","part","of",0.819905213270142
"at the time",173,"at","the","time",0.032666163141994
"that it was",173,"that","it","was",0.200463499420626
"i think the",172,"i","think","the",0.0611229566453447
"is in the",172,"is","in","the",0.2642089093702
"do you know",171,"do","you","know",0.0926829268292683
"out of my",169,"out","of","my",0.0694330320460148
"but it was",168,"but","it","was",0.176285414480588
"i do not",168,"i","do","not",0.145454545454545
"i don't want",168,"i","don't","want",0.0742377375165709
"i think it",168,"i","think","it",0.0597014925373134
"in the same",168,"in","the","same",0.0113482842475007
"be a good",167,"be","a","good",0.0795616960457361
"on top of",167,"on","top","of",0.630188679245283
"back in the",166,"back","in","the",0.291739894551845
"how are you",166,"how","are","you",0.70042194092827
"i got a",166,"i","got","a",0.140321217244294
"i used to",166,"i","used","to",0.383371824480369
"is a good",166,"is","a","good",0.036260375709917
"because of the",165,"because","of","the",0.289982425307557
"side of the",165,"side","of","the",0.495495495495495
"supposed to be",165,"supposed","to","be",0.44
"for a few",164,"for","a","few",0.041497975708502
"i miss you",164,"i","miss","you",0.326693227091633
"no matter what",164,"no","matter","what",0.472622478386167
"i was in",163,"i","was","in",0.0361499223774673
"you know what",163,"you","know","what",0.100928792569659
"trying to get",162,"trying","to","get",0.118594436310395
"you can see",162,"you","can","see",0.0677257525083612
"in the last",161,"in","the","last",0.0108754390705215
"the only one",161,"the","only","one",0.157843137254902
"top of the",161,"top","of","the",0.409669211195929
"for the next",159,"for","the","next",0.0197441947100459
"to get to",159,"to","get","to",0.0493023255813953
"what to do",159,"what","to","do",0.466275659824047
"have a good",158,"have","a","good",0.0442329227323628
"i would love",158,"i","would","love",0.0944976076555024
"we will be",158,"we","will","be",0.257328990228013
"you will be",158,"you","will","be",0.189903846153846
"go back to",157,"go","back","to",0.59469696969697
"to be able",157,"to","be","able",0.0219611134424395
"to talk to",157,"to","talk","to",0.356818181818182
"it in the",156,"it","in","the",0.2508038585209
"and i will",155,"and","i","will",0.0356731875719217
"but i have",155,"but","i","have",0.0581177352830896
"to see what",155,"to","see","what",0.055956678700361
"check out the",154,"check","out","the",0.235114503816794
"in the end",154,"in","the","end",0.0104025938935423
"the back of",154,"the","back","of",0.435028248587571
"to all the",154,"to","all","the",0.230884557721139
"a great time",152,"a","great","time",0.0723120837297812
"i was going",152,"i","was","going",0.0337103570636505
"to make the",152,"to","make","the",0.0765357502517623
"by the way",151,"by","the","way",0.0715979137031769
"i thought i",151,"i","thought","i",0.166299559471366
"you are a",151,"you","are","a",0.0624483043837883
"it has been",150,"it","has","been",0.252951096121417
"the way to",150,"the","way","to",0.112443778110945
"there will be",150,"there","will","be",0.769230769230769
"at this point",149,"at","this","point",0.317021276595745
"in the us",149,"in","the","us",0.0100648473385571
"this is not",149,"this","is","not",0.0531383737517832
"i would like",148,"i","would","like",0.0885167464114833
"let us know",148,"let","us","know",0.59919028340081
"the same thing",148,"the","same","thing",0.0730503455083909
"to make sure",148,"to","make","sure",0.0745216515609265
"want to see",148,"want","to","see",0.048540505083634
"according to the",147,"according","to","the",0.284332688588008
"going to the",147,"going","to","the",0.0410499860374197
"has been a",147,"has","been","a",0.0941101152368758
"was able to",147,"was","able","to",0.993243243243243
"you know that",147,"you","know","that",0.0910216718266254
"a great weekend",146,"a","great","weekend",0.0694576593720266
"i know that",146,"i","know","that",0.073256397390868
"i like to",146,"i","like","to",0.165532879818594
"the idea of",146,"the","idea","of",0.470967741935484
"a little more",145,"a","little","more",0.0753638253638254
"hope to see",145,"hope","to","see",0.450310559006211
"i love my",145,"i","love","my",0.0507170339279468
"if you can",145,"if","you","can",0.0377211238293444
"please follow me",145,"please","follow","me",0.609243697478992
"was one of",145,"was","one","of",0.725
"more and more",144,"more","and","more",0.688995215311005
"needs to be",144,"needs","to","be",0.32
"to say that",144,"to","say","that",0.13198900091659
"but i am",143,"but","i","am",0.0536182977127859
