"term","freq","s1","s2","s3","s4","prob"
"thanks for the follow",350,"thanks","for","the","follow",0.24822695035461
"the end of the",304,"the","end","of","the",0.507512520868113
"the rest of the",291,"the","rest","of","the",0.568359375
"at the end of",257,"at","the","end","of",0.803125
"for the first time",219,"for","the","first","time",0.787769784172662
"can't wait to see",197,"can't","wait","to","see",0.387795275590551
"thanks for the rt",195,"thanks","for","the","rt",0.138297872340426
"is going to be",193,"is","going","to","be",0.435665914221219
"is one of the",189,"is","one","of","the",0.517808219178082
"thank you for the",188,"thank","you","for","the",0.320272572402044
"if you want to",181,"if","you","want","to",0.580128205128205
"thank you so much",180,"thank","you","so","much",0.9375
"at the same time",175,"at","the","same","time",0.849514563106796
"in the middle of",171,"in","the","middle","of",0.733905579399142
"when it comes to",170,"when","it","comes","to",0.909090909090909
"i am going to",164,"i","am","going","to",0.891304347826087
"going to be a",158,"going","to","be","a",0.211796246648794
"to be able to",156,"to","be","able","to",0.993630573248408
"one of the most",151,"one","of","the","most",0.116243264049269
"i can't wait to",138,"i","can't","wait","to",0.563265306122449
"one of the best",137,"one","of","the","best",0.105465742879138
"i was going to",129,"i","was","going","to",0.848684210526316
"one of my favorite",125,"one","of","my","favorite",0.255623721881391
"i don't want to",122,"i","don't","want","to",0.726190476190476
"i would love to",122,"i","would","love","to",0.772151898734177
"what do you think",118,"what","do","you","think",0.375796178343949
"i would like to",117,"i","would","like","to",0.790540540540541
"hope to see you",112,"hope","to","see","you",0.772413793103448
"a bit of a",110,"a","bit","of","a",0.379310344827586
"for the rest of",102,"for","the","rest","of",0.944444444444444
"the middle of the",102,"the","middle","of","the",0.483412322274882
"i wish i could",101,"i","wish","i","could",0.347079037800687
"have a great weekend",100,"have","a","great","weekend",0.2710027100271
"the top of the",97,"the","top","of","the",0.518716577540107
"to go to the",95,"to","go","to","the",0.221445221445221
"as much as i",94,"as","much","as","i",0.343065693430657
"i want to be",94,"i","want","to","be",0.118686868686869
"have a great day",93,"have","a","great","day",0.252032520325203
"thanks so much for",92,"thanks","so","much","for",0.46
"as well as the",90,"as","well","as","the",0.186721991701245
"i just want to",90,"i","just","want","to",0.642857142857143
"are you going to",88,"are","you","going","to",0.785714285714286
"it's going to be",83,"it's","going","to","be",0.79047619047619
"let me know if",82,"let","me","know","if",0.246246246246246
"on my way to",82,"on","my","way","to",0.602941176470588
"i have no idea",81,"i","have","no","idea",0.373271889400922
"was one of the",81,"was","one","of","the",0.558620689655172
"at the top of",80,"at","the","top","of",0.677966101694915
"i was able to",79,"i","was","able","to",0.9875
"in the first place",79,"in","the","first","place",0.395
"on the other hand",78,"on","the","other","hand",0.423913043478261
"have a lot of",77,"have","a","lot","of",0.777777777777778
"i look forward to",77,"i","look","forward","to",1
"the first time in",77,"the","first","time","in",0.201044386422977
"i thought it was",76,"i","thought","it","was",0.539007092198582
"that awkward moment when",75,"that","awkward","moment","when",0.949367088607595
"will be able to",75,"will","be","able","to",0.986842105263158
"is one of my",73,"is","one","of","my",0.2
"you so much for",73,"you","so","much","for",0.294354838709677
"in front of the",72,"in","front","of","the",0.236065573770492
"a lot of people",71,"a","lot","of","people",0.0633928571428571
"by the end of",71,"by","the","end","of",0.922077922077922
"hope you have a",71,"hope","you","have","a",0.676190476190476
"the back of the",71,"the","back","of","the",0.461038961038961
"for a long time",70,"for","a","long","time",0.760869565217391
"for those of you",68,"for","those","of","you",0.781609195402299
"i don't know what",68,"i","don't","know","what",0.164251207729469
"looking forward to the",68,"looking","forward","to","the",0.103500761035008
"thanks for the ff",68,"thanks","for","the","ff",0.0482269503546099
"had a great time",67,"had","a","great","time",0.320574162679426
"in the united states",67,"in","the","united","states",0.957142857142857
"the best way to",67,"the","best","way","to",0.848101265822785
"going to have to",66,"going","to","have","to",0.488888888888889
"so much for the",66,"so","much","for","the",0.295964125560538
"i feel like i",65,"i","feel","like","i",0.178571428571429
"the bottom of the",65,"the","bottom","of","the",0.619047619047619
"there are so many",65,"there","are","so","many",0.942028985507246
"as soon as i",64,"as","soon","as","i",0.349726775956284
"do you want to",64,"do","you","want","to",0.60952380952381
"if you have a",64,"if","you","have","a",0.205128205128205
"for the most part",63,"for","the","most","part",0.768292682926829
"i have to say",63,"i","have","to","say",0.112299465240642
"the beginning of the",63,"the","beginning","of","the",0.466666666666667
"do you have a",62,"do","you","have","a",0.264957264957265
"thanks for the mention",62,"thanks","for","the","mention",0.0439716312056738
"on the way to",61,"on","the","way","to",0.316062176165803
"a great way to",60,"a","great","way","to",0.857142857142857
"this is one of",60,"this","is","one","of",0.72289156626506
"those of you who",60,"those","of","you","who",0.606060606060606
"to get out of",60,"to","get","out","of",0.48780487804878
"want to go to",60,"want","to","go","to",0.344827586206897
"a little bit of",59,"a","little","bit","of",0.295
"end of the day",59,"end","of","the","day",0.16120218579235
"i don't know if",59,"i","don't","know","if",0.142512077294686
"most of the time",59,"most","of","the","time",0.222641509433962
"i had no idea",58,"i","had","no","idea",0.623655913978495
"the fact that i",58,"the","fact","that","i",0.129464285714286
"what are you doing",58,"what","are","you","doing",0.269767441860465
"a couple of weeks",57,"a","couple","of","weeks",0.11491935483871
"be a part of",57,"be","a","part","of",0.982758620689655
"i really want to",57,"i","really","want","to",0.7125
"the first time i",57,"the","first","time","i",0.148825065274151
"for the shout out",56,"for","the","shout","out",0.875
"i need to get",56,"i","need","to","get",0.107692307692308
"in front of me",56,"in","front","of","me",0.183606557377049
"thank you for your",56,"thank","you","for","your",0.0954003407155026
"thanks for the shout",56,"thanks","for","the","shout",0.0397163120567376
"trying to figure out",56,"trying","to","figure","out",0.835820895522388
"are going to be",55,"are","going","to","be",0.239130434782609
"wait to see you",55,"wait","to","see","you",0.228215767634855
"you have a great",55,"you","have","a","great",0.1375
"hope you had a",54,"hope","you","had","a",0.84375
"i want to go",54,"i","want","to","go",0.0681818181818182
"the rest of my",54,"the","rest","of","my",0.10546875
"this is the first",54,"this","is","the","first",0.136363636363636
"to go back to",54,"to","go","back","to",0.509433962264151
"did you know that",53,"did","you","know","that",0.404580152671756
"for a couple of",53,"for","a","couple","of",0.706666666666667
"i wish i had",53,"i","wish","i","had",0.18213058419244
"in the midst of",53,"in","the","midst","of",0.981481481481482
"know what to do",53,"know","what","to","do",0.552083333333333
"me know if you",53,"me","know","if","you",0.630952380952381
"to get rid of",53,"to","get","rid","of",0.981481481481482
"you don't have to",53,"you","don't","have","to",0.509615384615385
"i don't know how",52,"i","don't","know","how",0.1256038647343
"i dont want to",52,"i","dont","want","to",0.604651162790698
"on the other side",52,"on","the","other","side",0.282608695652174
"if you have any",51,"if","you","have","any",0.163461538461538
"was going to be",51,"was","going","to","be",0.180851063829787
"when i was a",51,"when","i","was","a",0.156441717791411
"can't wait for the",50,"can't","wait","for","the",0.257731958762887
"i love you so",49,"i","love","you","so",0.0862676056338028
"i wish i was",49,"i","wish","i","was",0.168384879725086
"nothing to do with",49,"nothing","to","do","with",0.7
"on top of the",49,"on","top","of","the",0.293413173652695
"take a look at",49,"take","a","look","at",0.590361445783133
"to take care of",49,"to","take","care","of",0.98
"you for the follow",49,"you","for","the","follow",0.227906976744186
"i thought i was",48,"i","thought","i","was",0.317880794701987
"over and over again",48,"over","and","over","again",0.48
"we are going to",48,"we","are","going","to",0.774193548387097
"a few weeks ago",47,"a","few","weeks","ago",0.431192660550459
"am i the only",47,"am","i","the","only",0.903846153846154
"as you can see",47,"as","you","can","see",0.439252336448598
"can i get a",47,"can","i","get","a",0.546511627906977
"in a way that",47,"in","a","way","that",0.534090909090909
"looking forward to seeing",47,"looking","forward","to","seeing",0.0715372907153729
"thank you for following",47,"thank","you","for","following",0.0800681431005111
"the other side of",47,"the","other","side","of",0.479591836734694
"a lot of fun",46,"a","lot","of","fun",0.0410714285714286
"a lot of the",46,"a","lot","of","the",0.0410714285714286
"thank you to all",46,"thank","you","to","all",0.348484848484849
"the name of the",46,"the","name","of","the",0.345864661654135
"you are going to",46,"you","are","going","to",0.779661016949153
"as well as a",45,"as","well","as","a",0.0933609958506224
"hope all is well",45,"hope","all","is","well",0.849056603773585
"i'm going to be",45,"i'm","going","to","be",0.108433734939759
"in the form of",45,"in","the","form","of",0.978260869565217
"to be a good",45,"to","be","a","good",0.0563204005006258
"to get back to",45,"to","get","back","to",0.489130434782609
"would love to see",45,"would","love","to","see",0.154109589041096
"find a way to",44,"find","a","way","to",0.8
"i'm looking forward to",44,"i'm","looking","forward","to",1
"i went to the",44,"i","went","to","the",0.206572769953052
"looking forward to your",44,"looking","forward","to","your",0.0669710806697108
"as a result of",43,"as","a","result","of",0.413461538461538
"as long as you",43,"as","long","as","you",0.190265486725664
"have no idea what",43,"have","no","idea","what",0.32824427480916
"have to go to",43,"have","to","go","to",0.383928571428571
"i'm not going to",43,"i'm","not","going","to",0.895833333333333
"one of the first",43,"one","of","the","first",0.0331023864511162
"the fact that the",43,"the","fact","that","the",0.0959821428571429
"there are a lot",43,"there","are","a","lot",0.352459016393443
"you would like to",43,"you","would","like","to",0.682539682539683
"at the beginning of",42,"at","the","beginning","of",0.75
"i am not a",42,"i","am","not","a",0.146853146853147
"i don't have to",42,"i","don't","have","to",0.227027027027027
"let us know if",42,"let","us","know","if",0.283783783783784
"looking forward to it",42,"looking","forward","to","it",0.0639269406392694
"nice to meet you",42,"nice","to","meet","you",0.893617021276596
"so i decided to",42,"so","i","decided","to",0.777777777777778
"the only one who",42,"the","only","one","who",0.260869565217391
"the rest of us",42,"the","rest","of","us",0.08203125
"thought it would be",42,"thought","it","would","be",0.736842105263158
"i just wanted to",41,"i","just","wanted","to",0.911111111111111
"in the name of",41,"in","the","name","of",0.872340425531915
"it was a good",41,"it","was","a","good",0.0673234811165846
"it was a great",41,"it","was","a","great",0.0673234811165846
"love you so much",41,"love","you","so","much",0.672131147540984
"to get to the",41,"to","get","to","the",0.257861635220126
"to go to sleep",41,"to","go","to","sleep",0.0955710955710956
"you want to be",41,"you","want","to","be",0.0879828326180258
"a lot of time",40,"a","lot","of","time",0.0357142857142857
"and i have a",40,"and","i","have","a",0.172413793103448
"and i have to",40,"and","i","have","to",0.172413793103448
"for a few days",40,"for","a","few","days",0.24390243902439
"i don't know why",40,"i","don't","know","why",0.0966183574879227
"i feel like i'm",40,"i","feel","like","i'm",0.10989010989011
"i want to do",40,"i","want","to","do",0.0505050505050505
"i want you to",40,"i","want","you","to",0.677966101694915
"in the way of",40,"in","the","way","of",0.412371134020619
"is supposed to be",40,"is","supposed","to","be",0.597014925373134
"let me know what",40,"let","me","know","what",0.12012012012012
"on the back of",40,"on","the","back","of",0.470588235294118
"thanks for the retweet",40,"thanks","for","the","retweet",0.0283687943262411
"the only way to",40,"the","only","way","to",0.5
"want to be a",40,"want","to","be","a",0.136518771331058
"you don't want to",40,"you","don't","want","to",0.597014925373134
"at the bottom of",39,"at","the","bottom","of",0.629032258064516
"can't wait to hear",39,"can't","wait","to","hear",0.0767716535433071
"had a lot of",39,"had","a","lot","of",0.8125
"happy mother's day to",39,"happy","mother's","day","to",0.378640776699029
"some of the best",39,"some","of","the","best",0.0706521739130435
"there will be a",39,"there","will","be","a",0.26
"to learn how to",39,"to","learn","how","to",0.928571428571429
"would you like to",39,"would","you","like","to",0.709090909090909
"are a lot of",38,"are","a","lot","of",0.703703703703704
"be one of the",38,"be","one","of","the",0.520547945205479
"do you have any",38,"do","you","have","any",0.162393162393162
"figure out how to",38,"figure","out","how","to",0.791666666666667
"for the sake of",38,"for","the","sake","of",0.974358974358974
"i don't have a",38,"i","don't","have","a",0.205405405405405
"i want to see",38,"i","want","to","see",0.047979797979798
"it would be a",38,"it","would","be","a",0.102702702702703
"may or may not",38,"may","or","may","not",0.95
"my husband and i",38,"my","husband","and","i",0.775510204081633
"over the course of",38,"over","the","course","of",1
"thanks for all the",38,"thanks","for","all","the",0.493506493506494
"you know what i",38,"you","know","what","i",0.233128834355828
"a few years ago",37,"a","few","years","ago",0.366336633663366
"a member of the",37,"a","member","of","the",0.474358974358974
"a part of the",37,"a","part","of","the",0.213872832369942
"all over the world",37,"all","over","the","world",0.293650793650794
"as part of the",37,"as","part","of","the",0.366336633663366
"can't wait to get",37,"can't","wait","to","get",0.0728346456692913
"great to see you",37,"great","to","see","you",0.435294117647059
"had so much fun",37,"had","so","much","fun",0.880952380952381
"i dont know if",37,"i","dont","know","if",0.190721649484536
"i need to go",37,"i","need","to","go",0.0711538461538462
"know what you think",37,"know","what","you","think",0.411111111111111
"thank you very much",37,"thank","you","very","much",0.948717948717949
"to be a part",37,"to","be","a","part",0.0463078848560701
"to be one of",37,"to","be","one","of",0.616666666666667
"to be part of",37,"to","be","part","of",0.948717948717949
"to do with the",37,"to","do","with","the",0.14859437751004
"we look forward to",37,"we","look","forward","to",0.948717948717949
"a look at the",36,"a","look","at","the",0.391304347826087
