"term","freq","prob"
"the",176333,0.043987478262952
"to",115563,0.0288279842712454
"and",95619,0.0238528164553725
"a",94983,0.0236941618860336
"i",89507,0.0223281360657508
"of",77884,0.0194286988653953
"in",61802,0.0154169334815772
"you",50991,0.0127200552596858
"is",48506,0.012100154937662
"for",46411,0.0115775427949497
"that",42847,0.0106884785101637
"it",42383,0.01057273052247
"on",34715,0.008659895243082
"my",33951,0.00846931019437929
"with",28722,0.00716490022099384
"this",26038,0.00649535798183405
"was",24983,0.00623218098395269
"be",24417,0.00609098839551586
"have",23702,0.00591262673344461
"at",22442,0.00559831107720715
"are",21400,0.00533837701863617
"me",20310,0.00506646903030377
"but",20181,0.00503428909406994
"so",20092,0.00501208743263729
"we",19716,0.00491829164950611
"not",18458,0.00460447490700872
"as",18424,0.0045959933734277
"your",16506,0.00411753509671069
"all",16057,0.00400552896206734
"just",15287,0.00381344717214445
"from",14525,0.0036233610371818
"out",13845,0.00345373036556158
"up",13645,0.00340383899155564
"like",13592,0.00339061777744406
"what",13498,0.00336716883166127
"or",13255,0.00330655081224404
"if",13189,0.00329008665882208
"they",12974,0.00323645343176569
"he",12967,0.00323470723367548
"one",12964,0.00323395886306539
"will",12789,0.00319030391081019
"about",12767,0.00318481585966953
"do",12135,0.00302715911781075
"can",11686,0.0029151529831674
"when",11486,0.00286526160916145
"by",11393,0.00284206212024869
"an",11068,0.00276098863748903
"get",10994,0.00274252882910683
"time",10179,0.0025392214800326
"i'm",10121,0.00252475298157087
"more",9792,0.00244268167133109
"there",9575,0.00238854953053464
"had",9411,0.00234763860384977
"his",9360,0.00233491630347825
"some",9263,0.00231071898708537
"no",9146,0.00228153253329189
"good",9097,0.00226930914666043
"love",9084,0.00226606620735005
"our",8966,0.00223663029668654
"her",8951,0.00223288844363609
"now",8848,0.00220719438602303
"who",8840,0.00220519873106279
"has",8805,0.00219646774061175
"day",8755,0.00218399489711027
"how",8483,0.00211614262846218
"know",8430,0.00210292141435061
"would",8420,0.00210042684565031
"new",7899,0.00197045981636482
"it's",7690,0.00191832333052861
"been",7689,0.00191807387365858
"she",7687,0.00191757495991852
"their",7626,0.0019023580908467
"see",7188,0.00179309598177368
"them",7137,0.00178037368140217
"its",7046,0.00175767310622946
"go",6947,0.00173297687609652
"people",6818,0.00170079693986268
"back",6811,0.00169905074177248
"were",6774,0.00168982083758138
"don't",6388,0.0015935304857499
"great",6379,0.00159128537391963
"us",6356,0.00158554786590895
"am",6202,0.00154713150792437
"think",6146,0.00153316192320271
"make",5922,0.00147728358431605
"too",5828,0.00145383463853325
"today",5797,0.00144610147556233
"really",5784,0.00144285853625195
"thanks",5778,0.00144136179503177
"going",5777,0.00144111233816174
"then",5752,0.00143487591641099
"much",5662,0.00141242479810832
"only",5660,0.00141192588436826
"well",5425,0.00135330351991127
"want",5316,0.00132611272107803
"first",5308,0.0013241170661178
"rt",5305,0.00132336869550771
"into",5254,0.00131064639513619
"got",5229,0.00130440997338545
"way",5206,0.00129867246537476
"which",5185,0.00129343387110414
"over",5174,0.00129068984553381
"than",5152,0.00128520179439316
"because",5143,0.00128295668256289
"even",4881,0.0012175989826151
"did",4865,0.00121360767269463
"need",4861,0.00121260984521451
"right",4835,0.00120612396659373
"here",4825,0.00120362939789344
"other",4783,0.00119315220935219
"him",4782,0.00119290275248216
"work",4763,0.00118816307195159
"still",4754,0.00118591796012133
"last",4691,0.00117020217730945
"u",4680,0.00116745815173913
"also",4523,0.00112829342314446
"life",4512,0.00112554939757413
"after",4499,0.00112230645826375
"said",4474,0.001116070036513
"off",4440,0.00110758850293199
"could",4427,0.0011043455636216
"very",4410,0.0011001047968311
"year",4165,0.00103898786367382
"where",4157,0.00103699220871358
"lol",4136,0.00103175361444295
"any",4106,0.00102426990834206
"come",4044,0.00100880358240022
"little",4003,0.000998575850729
"should",3994,0.000996330738898733
"these",3954,0.000986352464097544
"never",3892,0.000970886138155701
"take",3870,0.000965398087015046
"being",3820,0.00095292524351356
"say",3809,0.000950181217943233
"why",3803,0.000948684476723055
"down",3786,0.000944443709932549
"happy",3784,0.00094394479619249
"two",3743,0.000933717064521271
"night",3689,0.000920246393539666
"most",3641,0.000908272463778239
"best",3639,0.000907773550038179
"many",3626,0.000904530610727793
"those",3624,0.000904031696987733
"im",3581,0.000893305051576455
"made",3502,0.000873597958844107
"things",3500,0.000873099045104047
"something",3457,0.000862372399692769
"always",3421,0.000853391952371699
"before",3378,0.00084266530696042
"next",3347,0.000834932143989499
"can't",3346,0.000834682687119469
"week",3323,0.000828945179108785
"home",3295,0.000821960386747953
"follow",3285,0.000819465818047656
"may",3217,0.000802502750885634
"hope",3140,0.000783294571893345
"better",3136,0.000782296744413226
"look",3111,0.000776060322662483
"through",3093,0.000771570099001948
"again",3049,0.00076059399672064
"world",3045,0.000759596169240521
"years",3029,0.000755604859320045
"while",3016,0.000752361920009659
"feel",2997,0.000747622239479094
"every",2931,0.000731158086057132
"around",2918,0.000727915146746746
"thank",2871,0.000716190673855348
"sure",2852,0.000711450993324784
"show",2850,0.000710952079584724
"ever",2831,0.000706212399054159
"man",2828,0.00070546402844407
"long",2822,0.000703967287223892
"another",2769,0.000690746073112316
"tonight",2761,0.000688750418152078
"that's",2750,0.000686006392581751
"thing",2743,0.000684260194491543
"you're",2661,0.000663804731149106
"find",2640,0.000658566136878481
"dont",2637,0.000657817766268392
"i've",2620,0.000653576999477887
"let",2619,0.000653327542607857
"big",2618,0.000653078085737827
"getting",2615,0.000652329715127738
"old",2615,0.000652329715127738
"oh",2605,0.000649835146427441
"same",2554,0.000637112846055925
"few",2551,0.000636364475445836
"school",2546,0.000635117191095687
"yes",2534,0.00063212370865533
"use",2502,0.000624141088814379
"book",2498,0.00062314326133426
"game",2493,0.000621895976984111
"keep",2485,0.000619900322023874
"does",2415,0.000602438341121793
"looking",2407,0.000600442686161555
"please",2398,0.000598197574331287
"own",2378,0.000593208436930693
"days",2369,0.000590963325100425
"everyone",2369,0.000590963325100425
"give",2368,0.000590713868230395
"help",2368,0.000590713868230395
"fun",2351,0.00058647310143989
"doing",2329,0.000580985050299236
"morning",2319,0.000578490481598939
"god",2296,0.000572752973588255
"since",2249,0.000561028500696858
"i'll",2237,0.000558035018256501
"such",2231,0.000556538277036323
"put",2228,0.000555789906426233
"free",2227,0.000555540449556204
"thought",2220,0.000553794251465996
"friends",2168,0.00054082249422445
"place",2166,0.00054032358048439
"lot",2140,0.000533837701863617
"someone",2140,0.000533837701863617
"away",2138,0.000533338788123558
"though",2114,0.000527351823242845
"wait",2107,0.000525605625152636
"nice",2092,0.00052186377210219
"tell",2091,0.000521614315232161
"th",2076,0.000517872462181715
"until",2071,0.000516625177831566
"didn't",2066,0.000515377893481418
"bad",2053,0.000512134954171031
"house",2052,0.000511885497301001
"family",2049,0.000511137126690912
"having",2047,0.000510638212950853
"read",2025,0.000505150161810199
"tomorrow",2013,0.000502156679369842
"start",1988,0.000495920257619099
"done",1982,0.00049442351639892
"pretty",1979,0.000493675145788831
"might",1978,0.000493425688918802
"live",1972,0.000491928947698623
"end",1970,0.000491430033958564
"each",1965,0.000490182749608415
"both",1958,0.000488436551518207
"twitter",1954,0.000487438724038088
"call",1920,0.000478957190457077
"used",1894,0.000472471311836304
"music",1888,0.000470974570616126
"part",1886,0.000470475656876067
"real",1879,0.000468729458785859
"went",1879,0.000468729458785859
"post",1877,0.000468230545045799
"weekend",1861,0.000464239235125323
"hard",1860,0.000463989778255294
"try",1846,0.000460497382074877
"soon",1831,0.000456755529024432
"yet",1817,0.000453263132844015
"making",1796,0.000448024538573391
"awesome",1789,0.000446278340483183
"working",1781,0.000444282685522945
"coming",1778,0.000443534314912856
"play",1775,0.000442785944302767
"d",1763,0.00043979246186241
"must",1758,0.000438545177512261
"hey",1751,0.000436798979422053
"actually",1741,0.000434304410721756
"check",1741,0.000434304410721756
"enough",1737,0.000433306583241637
"found",1731,0.000431809842021459
"already",1728,0.00043106147141137
"nothing",1705,0.000425323963400686
"times",1703,0.000424825049660626
"story",1693,0.000422330480960329
"left",1687,0.000420833739740151
"everything",1686,0.000420584282870121
"without",1680,0.000419087541649943
"makes",1679,0.000418838084779913
"stop",1669,0.000416343516079616
"maybe",1650,0.000411603835549051
"trying",1647,0.000410855464938962
"pm",1639,0.000408859809978724
"once",1638,0.000408610353108694
"anything",1637,0.000408360896238664
"amazing",1634,0.000407612525628575
"girl",1630,0.000406614698148456
"myself",1628,0.000406115784408397
"came",1605,0.000400378276397713
"three",1599,0.000398881535177535
"food",1598,0.000398632078307505
"person",1597,0.000398382621437475
"haha",1592,0.000397135337087327
"high",1591,0.000396885880217297
"bit",1585,0.000395389138997119
"anyone",1581,0.000394391311517
"guys",1569,0.000391397829076643
"believe",1567,0.000390898915336583
"kids",1567,0.000390898915336583
"watching",1553,0.000387406519156167
"talk",1549,0.000386408691676048
"far",1539,0.000383914122975751
"friend",1539,0.000383914122975751
"ready",1528,0.000381170097405424
"name",1512,0.000377178787484948
"yeah",1511,0.000376929330614919
"point",1509,0.000376430416874859
"watch",1509,0.000376430416874859
"job",1508,0.000376180960004829
"team",1508,0.000376180960004829
"top",1500,0.000374185305044592
"between",1477,0.000368447797033908
"together",1477,0.000368447797033908
"set",1476,0.000368198340163878
"different",1470,0.0003667015989437
"wish",1468,0.00036620268520364
"miss",1462,0.000364705943983462
"head",1458,0.000363708116503343
"course",1453,0.000362460832153194
"mind",1447,0.000360964090933016
"saw",1441,0.000359467349712838
"city",1437,0.000358469522232719
"room",1431,0.00035697278101254
"blog",1430,0.000356723324142511
"took",1429,0.000356473867272481
"cool",1423,0.000354977126052303
"told",1422,0.000354727669182273
"hear",1416,0.000353230927962095
"gonna",1415,0.000352981471092065
"money",1405,0.000350486902391768
"full",1394,0.00034774287682144
"least",1394,0.00034774287682144
"says",1394,0.00034774287682144
"started",1394,0.00034774287682144
"beautiful",1385,0.000345497764991173
"change",1385,0.000345497764991173
"remember",1380,0.000344250480641024
"wanted",1380,0.000344250480641024
"mean",1377,0.000343502110030935
"true",1375,0.000343003196290876
"party",1374,0.000342753739420846
"run",1369,0.000341506455070697
"kind",1365,0.000340508627590578
"we're",1361,0.00033951080011046
"state",1360,0.00033926134324043
"favorite",1348,0.000336267860800073
"during",1346,0.000335768947060014
"called",1342,0.000334771119579895
"white",1334,0.000332775464619657
"win",1327,0.000331029266529449
"open",1308,0.000326289585998884
"probably",1308,0.000326289585998884
"friday",1307,0.000326040129128854
"birthday",1298,0.000323795017298587
"heart",1297,0.000323545560428557
"almost",1293,0.000322547732948438
"finally",1292,0.000322298276078408
"excited",1288,0.000321300448598289
"idea",1285,0.0003205520779882
"hate",1282,0.000319803707378111
"water",1279,0.000319055336768022
"black",1271,0.000317059681807784
"hours",1270,0.000316810224937754
"w",1268,0.000316311311197695
"whole",1262,0.000314814569977516
"later",1260,0.000314315656237457
