"term","freq"
"the",11838
"to",7639
"a",6450
"and",6411
"i",6005
"of",5126
"in",4109
"you",3380
"is",3189
"it",2977
"for",2976
"that",2857
"my",2285
"on",2247
"with",1959
"be",1698
"was",1685
"this",1659
"have",1529
"are",1461
"at",1415
"me",1395
"but",1379
"we",1331
"so",1320
"as",1248
"not",1242
"your",1108
"just",1062
"all",1028
"from",987
"up",955
"out",950
"like",923
"or",920
"one",907
"about",906
"if",906
"what",893
"he",866
"will",853
"they",852
"do",833
"when",808
"get",780
"by",757
"can",739
"an",735
"time",704
"i'm",690
"there",663
"more",639
"who",629
"how",626
"his",623
"some",622
"good",620
"had",607
"has",606
"our",597
"day",594
"no",592
"love",575
"would",573
"her",547
"it's",546
"know",536
"now",536
"new",502
"she",500
"been",485
"people",482
"its",475
"them",470
"see",468
"their",460
"go",453
"great",445
"really",442
"then",440
"going",432
"think",431
"us",427
"back",422
"am",419
"were",418
"make",407
"today",397
"too",396
"don't",394
"well",391
"only",387
"than",387
"thanks",383
"rt",371
"got",365
"much",358
"here",355
"need",355
"want",350
"did",346
"first",340
"which",340
"into",325
"him",323
"because",322
"way",322
"very",320
"right",319
"over",316
"u",316
"still",312
"even",311
"other",310
"work",310
"life",304
"after",297
"off",296
"said",296
"could",293
"lol",284
"also",282
"last",280
"most",278
"these",278
"any",271
"should",268
"why",266
"little",265
"year",263
"can't",259
"come",259
"two",259
"never",256
"down",254
"say",253
"take",251
"where",251
"best",247
"im",244
"made",244
"many",238
"week",234
"being",233
"things",232
"next",231
"before",227
"happy",227
"those",226
"something",222
"follow",219
"always",216
"night",212
"around",211
"home",211
"better",210
"that's",205
"may",204
"sure",204
"again",203
"another",201
"years",200
"feel",193
"look",193
"school",193
"thing",192
"world",192
"you're",191
"show",189
"every",187
"while",186
"through",185
"hope",184
"oh",183
"long",182
"big",181
"i'll",180
"getting",179
"man",179
"doing",176
"tonight",176
"use",176
"thought",173
"same",171
"find",170
"tell",170
"few",169
"someone",167
"ever",166
"keep",166
"give",165
"please",165
"everyone",163
"fun",163
"old",162
"let",160
"game",158
"thank",156
"days",155
"looking",155
"since",155
"own",154
"though",153
"dont",152
"help",152
"i've",152
"lot",151
"done",149
"until",148
"wait",147
"does",146
"god",146
"book",145
"might",145
"place",145
"bad",144
"didn't",144
"end",144
"morning",143
"call",142
"pretty",142
"both",141
"house",141
"awesome",140
"yes",140
"nice",139
"real",139
"each",137
"put",137
"such",136
"tomorrow",135
"twitter",134
"having",133
"part",133
"weekend",133
"music",132
"hard",131
"th",131
"three",131
"used",131
"found",130
"myself",128
"play",127
"post",126
"start",126
"actually",125
"away",124
"working",124
"read",123
"anything",122
"trying",122
"went",122
"bit",121
"live",121
"making",121
"must",121
"set",121
"stop",121
"times",121
"different",120
"haha",120
"without",118
"amazing",117
"check",117
"friend",117
"friends",117
"yet",117
"name",116
"talk",116
"left",115
"makes",115
"yeah",115
"food",114
"high",114
"ready",114
"believe",113
"enough",113
"girl",113
"point",113
"head",112
"nothing",112
"d",111
"maybe",111
"pm",110
"family",109
"full",109
"saw",109
"soon",108
"story",108
"already",107
"between",107
"money",107
"person",107
"almost",106
"course",106
"hey",106
"less",106
"try",106
"once",105
"true",104
"free",103
"job",103
"mind",103
"during",102
"far",101
"run",101
"top",101
"cool",100
"room",100
"team",99
"whole",99
"kids",98
"guys",97
"kind",97
"remember",96
"watching",96
"writing",96
"side",95
"told",95
"watch",95
"wish",95
"open",94
"thinking",94
"using",94
"came",93
"hear",93
"least",93
"movie",93
"anyone",92
"care",92
"coming",92
"miss",92
"beautiful",91
"change",91
"doesn't",91
"able",90
"comes",90
"everything",90
"favorite",90
"fact",89
"gonna",89
"heart",89
"says",89
"following",88
"mean",88
"blog",87
"early",87
"looks",87
"rather",87
"word",87
"ago",86
"feeling",86
"half",85
"month",85
"probably",85
"sleep",85
"support",85
"together",85
"wanted",85
"called",84
"excited",84
"friday",84
"order",84
"phone",84
"ask",83
"birthday",83
"didnt",83
"later",83
"small",83
"took",83
"black",82
"guy",82
"shit",82
"state",82
"white",82
"city",81
"guess",81
"second",81
"talking",81
"books",80
"finally",80
"i'd",80
"men",80
"party",80
"w",80
"we're",80
"hate",79
"hours",79
"past",79
"sorry",79
"started",79
"stay",79
"thats",79
"win",79
"list",78
"news",78
"quite",78
"stuff",78
"often",77
"seen",77
"taking",77
"bring",76
"business",76
"he's",76
"minutes",76
"needs",76
"water",76
"forward",75
"gets",75
"heard",75
"idea",75
"moment",75
"children",74
"eat",74
"perfect",74
"playing",74
"season",74
"cant",73
"hot",73
"there's",73
"along",72
"line",72
"outside",72
"song",72
"summer",72
"under",72
"become",71
"experience",71
"girls",71
"ok",71
"sweet",71
"welcome",71
"words",71
"cause",70
"light",70
"against",69
"class",69
"meet",69
"office",69
"saying",69
"self",69
"what's",69
"car",68
"card",68
"face",68
"group",68
"hell",68
"meeting",68
"mom",68
"turn",68
"isn't",67
"reading",67
"add",66
"baby",66
"community",66
"however",66
"john",66
"number",66
"sounds",66
"wrong",66
"coffee",65
"others",65
"seems",65
"video",65
"weeks",65
"else",64
"felt",64
"leave",64
"power",64
"either",63
"email",63
"hit",63
"important",63
"instead",63
"interesting",63
"jesus",63
"okay",63
"s",63
"st",63
"we'll",63
"ass",62
"crazy",62
"living",62
"means",62
"buy",61
"couple",61
"enjoy",61
"future",61
"hand",61
"public",61
"share",61
"tweet",61
"wow",61
"yourself",61
"'s",60
"art",60
"easy",60
"r",60
"reason",60
"decided",59
"especially",59
"ill",59
"move",59
"question",59
"sense",59
"special",59
"sunday",59
"women",59
"works",59
"yesterday",59
"american",58
"asked",58
"christmas",58
"damn",58
"design",58
"film",58
"funny",58
"inside",58
"lost",58
"loved",58
"paper",58
"starting",58
"b",57
"beer",57
"close",57
"let's",57
"months",57
"online",57
"won't",57
"wonder",57
"c",56
"country",56
"id",56
"knew",56
"ones",56
"plan",56
"single",56
"social",56
"ur",56
"cute",55
"forget",55
"games",55
"glad",55
"goes",55
"haven't",55
"ive",55
"project",55
"send",55
"several",55
"students",55
"wanna",55
"cut",54
"definitely",54
"front",54
"local",54
"n",54
"national",54
"pay",54
"sad",54
"sometimes",54
"understand",54
"walk",54
"wonderful",54
"x",54
"behind",53
"dinner",53
"fans",53
"four",53
"learn",53
"matter",53
"parents",53
"problem",53
"rest",53
"visit",53
"area",52
"ha",52
"late",52
"looked",52
"pick",52
"saturday",52
"seeing",52
"seem",52
"son",52
"tried",52
"weather",52
"woman",52
"write",52
"child",51
"five",51
"pictures",51
"rock",51
"short",51
"super",51
"trip",51
"ya",51
"available",50
"break",50
"doesnt",50
"event",50
"eyes",50
"gotta",50
"information",50
"red",50
"street",50
"wants",50
"young",50
"center",49
"church",49
"date",49
"e",49
"fall",49
"gave",49
"government",49
"history",49
"listening",49
"luck",49
"needed",49
"although",48
"cannot",48
"chance",48
"congrats",48
"dead",48
"door",48
"drink",48
"finished",48
"gone",48
"happened",48
"lots",48
"media",48
"store",48
"town",48
"turned",48
"album",47
"alone",47
"april",47
"band",47
"bed",47
"eating",47
"feels",47
"fuck",47
"given",47
"green",47
"hour",47
"likely",47
"lunch",47
"near",47
"picture",47
"she's",47
"text",47
"across",46
"cheese",46
"company",46
"dream",46
"including",46
"join",46
"lives",46
"p",46
"record",46
"service",46
"spent",46
"sun",46
"system",46
"body",45
"boys",45
"brought",45
"cold",45
"dog",45
"hair",45
"happen",45
"human",45
"mad",45
"met",45
"personal",45
"possible",45
"truly",45
"truth",45
"usually",45
"action",44
"boy",44
"create",44
"dude",44
"fan",44
"fast",44
"knows",44
"longer",44
"march",44
"members",44
"rain",44
"recipe",44
"schools",44
"series",44
"style",44
"anyway",43
"changes",43
"entire",43
"level",43
"mark",43
"middle",43
"million",43
"monday",43
"mother",43
"o",43
"omg",43
"questions",43
"space",43
"spring",43
"takes",43
"voice",43
"above",42
"account",42
"based",42
"followers",42
"hands",42
"market",42
"paul",42
"re",42
"sign",42
"sister",42
"site",42
"they're",42
"you'll",42
"begin",41
"beginning",41
"bitch",41
"case",41
"challenge",41
"choice",41
"cup",41
"death",41
"exactly",41
"ideas",41
"listen",41
"running",41
"seriously",41
"speak",41
"tired",41
"absolutely",40
"completely",40
"deal",40
"fresh",40
"happens",40
"huge",40
"la",40
"learning",40
"link",40
"mr",40
"non",40
"president",40
"quickly",40
"sent",40
"sound",40
"south",40
"wasn't",40
"clear",39
"college",39
"couldn't",39
"drive",39
"fight",39
"final",39
"park",39
"road",39
"safe",39
"success",39
"totally",39
"track",39
"war",39
"website",39
"york",39
"bought",38
"club",38
"giving",38
"health",38
"himself",38
"ice",38
"kid",38
"lets",38
"opening",38
