"term","freq"
"one of the",89
"a lot of",88
"thanks for the",87
"to be a",68
"going to be",57
"i want to",55
"it was a",46
"out of the",46
"i have to",44
"i need to",42
"be able to",41
"the end of",41
"can't wait to",39
"i have a",39
"looking forward to",38
"of the day",38
"some of the",37
"thank you for",37
"the first time",35
"a couple of",34
"in the world",32
"you have to",32
"for the follow",31
"one of my",31
"as well as",30
"i had a",30
"i love you",30
"part of the",30
"to have a",30
"have a great",29
"i wanted to",29
"let me know",29
"you want to",29
"if you are",28
"if you want",28
"is going to",28
"is one of",28
"to make it",28
"have to be",27
"i had to",27
"in order to",27
"we need to",27
"end of the",26
"most of the",26
"the rest of",26
"this is a",26
"i'm going to",25
"i have been",25
"in front of",25
"it would be",25
"i don't know",24
"i love the",24
"there is a",24
"there is no",24
"was going to",24
"at the end",23
"for the first",23
"to see the",23
"when i was",23
"you have a",23
"you need to",23
"are going to",22
"as much as",22
"i am not",22
"of the most",22
"the fact that",22
"a bit of",21
"a little bit",21
"do you have",21
"i thought i",21
"i will be",21
"if you have",21
"there was a",21
"wait to see",21
"what do you",21
"do you think",20
"i think i",20
"of the year",20
"the united states",20
"to be the",20
"but it was",19
"in the morning",19
"rest of the",19
"to do with",19
"to get a",19
"to go to",19
"want to be",19
"we have a",19
"what are you",19
"would love to",19
"for the rt",18
"i have no",18
"is the best",18
"need to get",18
"this is the",18
"can't wait for",17
"don't want to",17
"how are you",17
"i decided to",17
"i know i",17
"i wish i",17
"in the middle",17
"is not a",17
"it is a",17
"thanks for following",17
"that would be",17
"when it comes",17
"would like to",17
"a long time",16
"and i think",16
"be sure to",16
"i am so",16
"i feel like",16
"i think it",16
"in love with",16
"it has been",16
"it is not",16
"it will be",16
"of my favorite",16
"on my way",16
"so i can",16
"a great day",15
"a part of",15
"all the time",15
"and i have",15
"and it was",15
"as long as",15
"back to the",15
"for a while",15
"for me to",15
"had a great",15
"it comes to",15
"it was the",15
"know how to",15
"look forward to",15
"of the best",15
"one of those",15
"that i have",15
"the same time",15
"to make a",15
"to tell you",15
"you for the",15
"a few days",14
"all of the",14
"at a time",14
"check it out",14
"did you know",14
"have to go",14
"i can't wait",14
"in the end",14
"look at the",14
"more than a",14
"needs to be",14
"not going to",14
"thanks so much",14
"thought it was",14
"to see you",14
"up in the",14
"want to do",14
"a chance to",13
"and i am",13
"and it is",13
"go to the",13
"going to get",13
"i do not",13
"i hope you",13
"i think the",13
"i thought it",13
"i was going",13
"i was in",13
"if you don't",13
"im going to",13
"need to be",13
"so you can",13
"supposed to be",13
"that it is",13
"the beginning of",13
"the middle of",13
"the only one",13
"the same thing",13
"to do it",13
"up to the",13
"wish i could",13
"you have any",13
"you know that",13
"a good time",12
"and all the",12
"and i had",12
"and i will",12
"as a result",12
"at the same",12
"back in the",12
"be a good",12
"but i am",12
"come up with",12
"have a good",12
"have to say",12
"i am a",12
"i have had",12
"i know that",12
"i love it",12
"i went to",12
"in the first",12
"in the future",12
"in the same",12
"it to the",12
"make sure you",12
"might as well",12
"of the world",12
"that i had",12
"that it was",12
"the next day",12
"the number of",12
"time to get",12
"to get to",12
"was in the",12
"we have to",12
"what i do",12
"what i was",12
"when you are",12
"you can see",12
"a great time",11
"a result of",11
"all the way",11
"and i was",11
"and of course",11
"as soon as",11
"at the moment",11
"at the time",11
"at this point",11
"don't have to",11
"get out of",11
"getting ready to",11
"going to the",11
"has been a",11
"i think it's",11
"i wonder if",11
"i would be",11
"i would love",11
"if you do",11
"in my life",11
"in terms of",11
"in the us",11
"it should be",11
"just a few",11
"me know if",11
"on the way",11
"rt if you",11
"so much for",11
"so much fun",11
"that is not",11
"that is the",11
"the idea of",11
"the time to",11
"thought i was",11
"thought i would",11
"to be able",11
"to be in",11
"to get it",11
"to get some",11
"to say that",11
"to tell me",11
"want to get",11
"was able to",11
"was one of",11
"we had a",11
"will have to",11
"you can do",11
"you so much",11
"a few months",10
"be in the",10
"but it is",10
"by the way",10
"forward to seeing",10
"have to get",10
"how do you",10
"i am the",10
"i don't want",10
"i dont know",10
"i hate when",10
"i like the",10
"i need a",10
"if i had",10
"in the face",10
"in the house",10
"is a little",10
"it's been a",10
"it's going to",10
"know if you",10
"many of the",10
"of my life",10
"of the night",10
"reminds me of",10
"seems to be",10
"shout out to",10
"thanks for all",10
"that was a",10
"the back of",10
"the kind of",10
"the need to",10
"the only thing",10
"to be your",10
"to figure out",10
"to listen to",10
"to make sure",10
"to meet you",10
"to start the",10
"to talk to",10
"up on the",10
"was a great",10
"we have been",10
"what kind of",10
"with all the",10
"would be a",10
"you are a",10
"a few more",9
"a picture of",9
"and i don't",9
"and if you",9
"and will be",9
"but i think",9
"but there is",9
"couple of days",9
"do what i",9
"do you want",9
"don't know how",9
"down to the",9
"feel like i",9
"for the mention",9
"forward to the",9
"get back to",9
"happy new year",9
"has to be",9
"have to do",9
"hope you are",9
"i don't have",9
"i got a",9
"i had no",9
"i just got",9
"i know what",9
"i love her",9
"i miss you",9
"i should have",9
"i think i'm",9
"i think that",9
"i was a",9
"i would have",9
"in less than",9
"in the s",9
"is that the",9
"it's time to",9
"it is the",9
"it turned out",9
"it was an",9
"it was so",9
"look like a",9
"looks like a",9
"me in the",9
"members of the",9
"next to me",9
"no matter how",9
"not have to",9
"of all time",9
"of the house",9
"oh my god",9
"on the other",9
"out of my",9
"over and over",9
"people in the",9
"ready to go",9
"really want to",9
"seem to be",9
"side of the",9
"some of my",9
"thanks to the",9
"that i am",9
"the best of",9
"the top of",9
"the way to",9
"there is nothing",9
"this is not",9
"to do a",9
"to do the",9
"to get my",9
"to pick up",9
"to see a",9
"to talk about",9
"to the next",9
"to think about",9
"want to see",9
"we are in",9
"went to the",9
"which is why",9
"you are going",9
"you don't have",9
"you going to",9
"you know how",9
"you know what",9
"a beautiful day",8
"a great week",8
"a group of",8
"a number of",8
"a year ago",8
"all of it",8
"all of us",8
"and all that",8
"and have a",8
"and i are",8
"and i love",8
"and you can",8
"are you doing",8
"are you going",8
"as far as",8
"based on the",8
"because of the",8
"but i have",8
"by the time",8
"check out my",8
"check out the",8
"come out of",8
"congrats on the",8
"didnt want to",8
"do it for",8
"don't know why",8
"each of the",8
"for all of",8
"for all the",8
"for at least",8
"for some reason",8
"for the last",8
"for the next",8
"give it a",8
"give you a",8
"go to sleep",8
"half of the",8
"happy mothers day",8
"have you been",8
"he has a",8
"he is the",8
"hope to see",8
"i did not",8
"i didnt want",8
"i don't think",8
"i felt like",8
"i know it",8
"i love my",8
"i love your",8
"i want a",8
"i was able",8
"i would say",8
"in a while",8
"in the past",8
"is a good",8
"is the first",8
"is there a",8
"is trying to",8
"it can be",8
"it for the",8
"it has a",8
"it was all",8
"it was just",8
"me and my",8
"me on the",8
"my name is",8
"my way to",8
"not to be",8
"of the same",8
"on the radio",8
"part of my",8
"please let me",8
"take care of",8
"talking about the",8
"that have been",8
"that i can",8
"that you can",8
"the one who",8
"the other day",8
"the people who",8
"the power of",8
"the way i",8
"there are a",8
"there are many",8
"there was no",8
"there will be",8
"time it was",8
"to do this",8
"to find out",8
"to find the",8
"to me that",8
"to see what",8
"to take a",8
"to try and",8
"to use the",8
"up for the",8
"up to a",8
"wait for the",8
"was a good",8
"we all know",8
"we will be",8
"what is the",8
"whether or not",8
"which is a",8
"will be in",8
"will be the",8
"wish i was",8
"would have to",8
"you follow me",8
"you had a",8
"a great weekend",7
"a little more",7
"a look at",7
"a lot more",7
"a matter of",7
"a series of",7
"a time of",7
"a trip to",7
"a very good",7
"a way to",7
"all is well",7
"all over the",7
"am going to",7
"and i can",7
"and i feel",7
"and now i",7
"and that is",7
"and the other",7
"and there are",7
"and we are",7
"and when i",7
"any of the",7
"as you can",7
"at least i",7
"at some point",7
"away from the",7
"be on the",7
"be part of",7
"because i am",7
"because i have",7
"been able to",7
"but i will",7
"but now i",7
"can be a",7
"can do it",7
"don't forget to",7
"follow me please",7
"for a few",7
"for a new",7
"for a week",7
"for the rest",7
"get to the",7
"going back to",7
"going to see",7
"good to see",7
"great to see",7
"have to wait",7
"he was a",7
"how do i",7
"how much you",7
"i am going",7
"i can't believe",7
"i can do",7
"i didn't have",7
"i didn't know",7
"i don't get",7
"i dont think",7
"i got my",7
"i guess i",7
"i have the",7
"i just can't",7
"i just don't",7
"i know it's",7
"i like it",7
"i like to",7
"i tried to",7
"i was just",7
"i was there",7
"if i could",7
"if i was",7
"if you can't",7
"if you dont",7
"in honor of",7
"in my head",7
"in real life",7
"in the car",7
"in the city",7
"in the country",7
"in the day",7
"in the last",7
"in the room",7
"in your life",7
"instead of the",7
"is a very",7
"it does not",7
"it feels like",7
"it may be",7
"it on a",7
"it to be",7
"keep up the",7
"know that i",7
"know what i",7
"last time i",7
"looking at the",7
"lot of people",7
"make it a",7
"middle of the",7
"moment when you",7
"more of a",7
"much for the",7
"need to know",7
"need to see",7
"not sure if",7
"nothing to do",7
"of a sudden",7
"of all the",7
"of course i",7
"of course you",7
"of the new",7
"on my own",7
"on the right",7
"on the wall",7
"on top of",7
"one of their",7
"only a few",7
"out with a",7
"please follow me",7
"see you again",7
"so i have",7
"so many of",7
"so we can",7
"take a look",7
"talk to you",7
"tell you that",7
"that i would",7
"that if you",7
"that is a",7
"that kind of",7
"that was the",7
"the ability to",7
"the man who",7
"the most important",7
"the name of",7
"the opportunity to",7
"the time i",7
"the way you",7
"them in the",7
"these are the",7
"they are going",7
"they need to",7
"think about it",7
"think it is",7
"thinking about the",7
"this is one",7
"though it was",7
"to be on",7
"to check out",7
"to come to",7
"to do so",7
"to look at",7
"to see how",7
"to take it",7
"to take the",7
"up with a",7
