"term","freq"
"the",11838
"to",7639
"a",6450
"and",6411
"i",6005
"of",5126
"in",4109
"you",3380
"is",3189
"it",2977
"for",2976
"that",2857
"my",2285
"on",2247
"with",1959
"be",1698
"was",1685
"this",1659
"have",1529
"are",1461
"at",1415
"me",1395
"but",1379
"we",1331
"so",1320
"as",1248
"not",1242
"your",1108
"just",1062
"of the",1060
"all",1028
"from",987
"up",955
"out",950
"in the",948
"like",923
"or",920
"one",907
"about",906
"if",906
"what",893
"he",866
"will",853
"they",852
"do",833
"when",808
"get",780
"by",757
"can",739
"an",735
"time",704
"i'm",690
"there",663
"more",639
"who",629
"how",626
"his",623
"some",622
"good",620
"had",607
"has",606
"our",597
"day",594
"no",592
"love",575
"would",573
"her",547
"it's",546
"to the",538
"know",536
"now",536
"on the",520
"new",502
"she",500
"for the",499
"to be",495
"been",485
"people",482
"its",475
"them",470
"see",468
"their",460
"go",453
"great",445
"really",442
"then",440
"going",432
"think",431
"us",427
"back",422
"am",419
"were",418
"make",407
"today",397
"too",396
"don't",394
"well",391
"only",387
"than",387
"thanks",383
"rt",371
"at the",366
"got",365
"much",358
"here",355
"need",355
"want",350
"did",346
"first",340
"which",340
"it was",331
"i was",325
"into",325
"i have",324
"him",323
"because",322
"way",322
"very",320
"right",319
"and the",318
"with the",318
"over",316
"u",316
"still",312
"even",311
"other",310
"work",310
"life",304
"after",297
"off",296
"said",296
"and i",294
"could",293
"i am",293
"in a",288
"lol",284
"also",282
"last",280
"most",278
"these",278
"is a",276
"if you",275
"any",271
"for a",268
"should",268
"why",266
"going to",265
"little",265
"year",263
"can't",259
"come",259
"two",259
"never",256
"down",254
"have a",254
"say",253
"take",251
"where",251
"best",247
"im",244
"it is",244
"made",244
"many",238
"week",234
"being",233
"things",232
"next",231
"before",227
"happy",227
"those",226
"to get",226
"something",222
"follow",219
"always",216
"is the",214
"night",212
"around",211
"home",211
"better",210
"have to",209
"that's",205
"may",204
"sure",204
"again",203
"i love",202
"another",201
"years",200
"that i",198
"want to",198
"with a",198
"i think",197
"of a",197
"feel",193
"from the",193
"look",193
"one of",193
"school",193
"thing",192
"world",192
"but i",191
"will be",191
"you're",191
"show",189
"every",187
"while",186
"through",185
"hope",184
"need to",184
"oh",183
"long",182
"big",181
"i'll",180
"to see",180
"getting",179
"man",179
"doing",176
"tonight",176
"use",176
"thought",173
"thanks for",172
"same",171
"you are",171
"find",170
"tell",170
"few",169
"someone",167
"ever",166
"keep",166
"give",165
"please",165
"this is",165
"everyone",163
"fun",163
"old",162
"to do",162
"let",160
"was a",159
"game",158
"on a",158
"as a",157
"all the",156
"thank",156
"you can",156
"days",155
"looking",155
"since",155
"own",154
"though",153
"dont",152
"help",152
"i've",152
"lot",151
"a great",150
"done",149
"by the",148
"out of",148
"until",148
"wait",147
"when i",147
"does",146
"god",146
"i know",146
"on my",146
"to a",146
"book",145
"might",145
"place",145
"bad",144
"didn't",144
"end",144
"i had",143
"in my",143
"morning",143
"to make",143
"call",142
"of my",142
"pretty",142
"both",141
"house",141
"awesome",140
"be a",140
"yes",140
"nice",139
"real",139
"and a",138
"that the",138
"you have",138
"a lot",137
"each",137
"put",137
"a little",136
"i can",136
"such",136
"the best",136
"the same",136
"tomorrow",135
"twitter",134
"having",133
"part",133
"weekend",133
"i just",132
"music",132
"thank you",132
"hard",131
"i don't",131
"so i",131
"th",131
"three",131
"used",131
"found",130
"the first",129
"myself",128
"play",127
"a few",126
"post",126
"start",126
"that is",126
"about the",125
"actually",125
"would be",125
"away",124
"they are",124
"working",124
"a good",123
"had a",123
"read",123
"anything",122
"trying",122
"went",122
"bit",121
"do you",121
"live",121
"making",121
"must",121
"set",121
"stop",121
"times",121
"different",120
"haha",120
"without",118
"amazing",117
"check",117
"friend",117
"friends",117
"yet",117
"are you",116
"name",116
"talk",116
"left",115
"makes",115
"the world",115
"yeah",115
"food",114
"high",114
"ready",114
"to go",114
"believe",113
"enough",113
"girl",113
"point",113
"so much",113
"we are",113
"head",112
"nothing",112
"d",111
"i will",111
"maybe",111
"pm",110
"family",109
"full",109
"is not",109
"like a",109
"saw",109
"there is",109
"soon",108
"story",108
"already",107
"between",107
"money",107
"person",107
"almost",106
"course",106
"have been",106
"hey",106
"i would",106
"less",106
"try",106
"if i",105
"once",105
"to have",104
"true",104
"and then",103
"free",103
"job",103
"mind",103
"during",102
"far",101
"run",101
"top",101
"we have",101
"cool",100
"room",100
"team",99
"what i",99
"whole",99
"kids",98
"when you",98
"as the",97
"guys",97
"has been",97
"i want",97
"kind",97
"remember",96
"watching",96
"writing",96
"i do",95
"side",95
"told",95
"up to",95
"watch",95
"wish",95
"as well",94
"open",94
"there are",94
"thinking",94
"using",94
"a new",93
"came",93
"hear",93
"least",93
"movie",93
"anyone",92
"care",92
"coming",92
"he was",92
"lot of",92
"miss",92
"trying to",92
"beautiful",91
"change",91
"doesn't",91
"able",90
"comes",90
"everything",90
"favorite",90
"to my",90
"and it",89
"fact",89
"for me",89
"gonna",89
"heart",89
"one of the",89
"says",89
"a lot of",88
"following",88
"mean",88
"of course",88
"the most",88
"blog",87
"early",87
"in this",87
"looks",87
"rather",87
"thanks for the",87
"to me",87
"word",87
"ago",86
"feeling",86
"into the",86
"able to",85
"half",85
"month",85
"more than",85
"part of",85
"probably",85
"sleep",85
"some of",85
"support",85
"together",85
"wanted",85
"called",84
"excited",84
"friday",84
"order",84
"phone",84
"the day",84
"you know",84
"ask",83
"birthday",83
"didnt",83
"go to",83
"later",83
"me to",83
"small",83
"time to",83
"took",83
"all of",82
"black",82
"guy",82
"is that",82
"shit",82
"state",82
"white",82
"can be",81
"city",81
"guess",81
"i need",81
"second",81
"talking",81
"books",80
"finally",80
"i'd",80
"men",80
"party",80
"w",80
"we're",80
"hate",79
"hours",79
"i could",79
"past",79
"sorry",79
"started",79
"stay",79
"thats",79
"to say",79
"win",79
"i can't",78
"i got",78
"kind of",78
"list",78
"news",78
"quite",78
"should be",78
"stuff",78
"the other",78
"the way",78
"can't wait",77
"i thought",77
"often",77
"seen",77
"taking",77
"was the",77
"with my",77
"a bit",76
"bring",76
"business",76
"he's",76
"minutes",76
"needs",76
"water",76
"as i",75
"forward",75
"gets",75
"heard",75
"idea",75
"moment",75
"the end",75
"children",74
"eat",74
"had to",74
"in your",74
"perfect",74
"playing",74
"season",74
"cant",73
"hot",73
"there's",73
"along",72
"back to",72
"it to",72
"line",72
"outside",72
"song",72
"summer",72
"the next",72
"the time",72
"under",72
"at least",71
"become",71
"but the",71
"experience",71
"girls",71
"ok",71
"sweet",71
"that you",71
"welcome",71
"words",71
"cause",70
"light",70
"make it",70
"the new",70
"against",69
"class",69
"meet",69
"office",69
"right now",69
"saying",69
"self",69
"that was",69
"up and",69
"what's",69
"but it",68
"car",68
"card",68
"face",68
"group",68
"hell",68
"meeting",68
"mom",68
"the only",68
"to be a",68
"to take",68
"turn",68
"be the",67
"get a",67
"i like",67
"isn't",67
"like the",67
"reading",67
"about it",66
"add",66
"are the",66
"baby",66
"community",66
"however",66
"john",66
"number",66
"sounds",66
"wrong",66
"because i",65
"coffee",65
"i get",65
"like to",65
"not a",65
"others",65
"seems",65
"video",65
"weeks",65
"do it",64
"else",64
"felt",64
"has a",64
"it's a",64
"leave",64
"power",64
"to you",64
"you want",64
"either",63
"email",63
"hit",63
"important",63
"instead",63
"interesting",63
"jesus",63
"okay",63
"s",63
"st",63
"the last",63
"this week",63
"way to",63
"we'll",63
"and we",62
"ass",62
"crazy",62
"for you",62
"i'm not",62
"living",62
"means",62
"of this",62
"of your",62
"over the",62
"buy",61
"couple",61
"enjoy",61
"for my",61
"future",61
"hand",61
"he is",61
"i did",61
"public",61
"share",61
"tweet",61
"wow",61
"yourself",61
"'s",60
"and you",60
"art",60
"easy",60
"i hope",60
"is it",60
"r",60
"reason",60
"that we",60
"and that",59
"decided",59
"especially",59
"ill",59
"move",59
"question",59
"sense",59
"special",59
"sunday",59
"they were",59
"women",59
"works",59
"yesterday",59
"a very",58
"american",58
"asked",58
"christmas",58
"damn",58
"design",58
"film",58
"forward to",58
"funny",58
"i feel",58
"inside",58
"lost",58
"loved",58
"out the",58
"paper",58
"starting",58
"that it",58
"to find",58
"which is",58
"at a",57
"b",57
"beer",57
"close",57
"going to be",57
"let's",57
"months",57
"of it",57
"online",57
"when the",57
"won't",57
"wonder",57
"c",56
"country",56
"did you",56
"have the",56
"how to",56
"id",56
"knew",56
"ones",56
"plan",56
"single",56
"social",56
"up the",56
"ur",56
"cute",55
"forget",55
"games",55
"get to",55
"glad",55
"goes",55
"haven't",55
"i want to",55
"is to",55
"it and",55
"ive",55
"project",55
"see you",55
